County,District_ISD,School_name,Grade_range,School_enroll_2023
DALLAS,A W BROWN LEADERSHIP ACADEMY,QUEST CAMPUS PRE-K THRU 8,EE-08,435
DALLAS,A W BROWN LEADERSHIP ACADEMY,GENESIS CAMPUS PRE-K THRU 5,PK-05,343
DALLAS,A+ ACADEMY,A+ ACADEMY EL,PK-06,897
DALLAS,A+ ACADEMY,A+ SECONDARY SCHOOL,07-12,752
HARRIS,A+ UNLIMITED POTENTIAL,A+ UNLIMITED POTENTIAL - UNIVERSITY,06-08,150
DALLAS,ACADEMY FOR ACADEMIC EXCELLENCE,DALLAS COUNTY JUVENILE JUSTICE,03-12,213
DALLAS,ACADEMY FOR ACADEMIC EXCELLENCE,DRC CAMPUS,09-11,5
DALLAS,ACADEMY FOR ACADEMIC EXCELLENCE,MEDLOCK YOUTH VILLAGE,07-12,87
DALLAS,ACADEMY FOR ACADEMIC EXCELLENCE,LETOT CAMPUS,07-12,38
HARRIS,ACADEMY OF ACCELERATED LEARNING INC,ACADEMY OF ACCELERATED LEARNING,EE-08,830
DALLAS,ACADEMY OF DALLAS,ACADEMY OF DALLAS,EE-08,354
HARRIS,ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INT CHARTER SCHOOL,07-08,27
HARRIS,ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACAD,EE-06,165
DALLAS,ADVANTAGE ACADEMY,ADVANTAGE ACADEMY,PK-12,971
HARRIS,ALIEF MONTESSORI COMMUNITY SCHOOL,ALIEF MONTESSORI COMMUNITY SCHOOL,EE-08,384
GALVESTON,AMBASSADORS PREPARATORY ACADEMY,AMBASSADORS PREPARATORY ACADEMY,EE-08,162
HARRIS,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,AMIGOS POR VIDA-FRIENDS FOR LIFE CHARTER SCHOOL,PK-05,484
HARRIS,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,FRIENDS FOR LIFE MIDDLE,06-08,210
HARRIS,ARISTOI CLASSICAL ACADEMY,ARISTOI CLASSICAL UPPER SCHOOL,05-12,665
HARRIS,ARISTOI CLASSICAL ACADEMY,ARISTOI CLASSICAL ACADEMY-CYPRESS,KG-08,433
HARRIS,ARISTOI CLASSICAL ACADEMY,ARISTOI CLASSICAL ACADEMY,KG-04,437
TARRANT,ARLINGTON CLASSICS ACADEMY,ARLINGTON CLASSICS ACADEMY - MIDDLE,06-08,494
TARRANT,ARLINGTON CLASSICS ACADEMY,ARLINGTON CLASSICS ACADEMY - ARKANSAS CAMPUS,KG-02,479
TARRANT,ARLINGTON CLASSICS ACADEMY,ARLINGTON CLASSICS ACADEMY -INTERMEDIATE,03-05,521
BRAZOS,ARROW ACADEMY,ARROW ACADEMY - SAVE OUR STREETS CENTER,KG-06,132
HARRIS,ARROW ACADEMY,ARROW ACADEMY - HARVEST PREPARATORY ACADEMY,KG-06,171
HARRIS,ARROW ACADEMY,ARROW ACADEMY - CHAMPIONS ACADEMY,KG-05,66
FORT BEND,ARROW ACADEMY,ARROW ACADEMY - LIBERATION ACADEMY,KG-06,225
TRAVIS,AUSTIN ACHIEVE PUBLIC SCHOOLS,AUSTIN ACHIEVE MIDDLE,05-08,647
TRAVIS,AUSTIN ACHIEVE PUBLIC SCHOOLS,AUSTIN ACHIEVE H S,09-12,633
TRAVIS,AUSTIN ACHIEVE PUBLIC SCHOOLS,AUSTIN ACHIEVE NORTHEAST EL,PK-04,903
TRAVIS,AUSTIN ACHIEVE PUBLIC SCHOOLS,AUSTIN ACHIEVE FERGUSON,EE-08,76
TRAVIS,AUSTIN DISCOVERY SCHOOL,AUSTIN DISCOVERY SCH,KG-06,261
HARRIS,BAKERRIPLEY COMMUNITY SCHOOLS,RIPLEY HOUSE MIDDLE CAMPUS,06-08,168
HARRIS,BAKERRIPLEY COMMUNITY SCHOOLS,RIPLEY HOUSE CHARTER SCHOOL,PK-05,328
HARRIS,BAKERRIPLEY COMMUNITY SCHOOLS,NCI CHARTER SCHOOL WITHOUT WALLS,PK-02,897
HARRIS,BAKERRIPLEY COMMUNITY SCHOOLS,BAKER-RIPLEY CHARTER SCHOOL,PK-06,398
HARRIS,BAKERRIPLEY COMMUNITY SCHOOLS,NEW NEIGHBOR CAMPUS,PK,33
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO- PRI NORTH CENTRAL CAMPUS,KG-05,735
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO- SHAVANO CAMPUS,06-12,1038
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO - JACK LEWIS JR CAMPUS,06-12,132
TRAVIS,BASIS TEXAS,BASIS AUSTIN,03-06,211
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO PRI- MEDICAL CENTER CAMPUS,KG-05,771
TRAVIS,BASIS TEXAS,BASIS AUSTIN PRI,KG-02,201
WILLIAMSON,BASIS TEXAS,BASIS CEDAR PARK,06-12,279
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO PRI - JACK LEWIS JR CAMPUS,KG-05,514
WILLIAMSON,BASIS TEXAS,BASIS CEDAR PARK PRI,KG-05,718
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO PRI - NORTHEAST CAMPUS,KG-04,282
TARRANT,BASIS TEXAS,BASIS BENBROOK,KG-06,459
HARRIS,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,KG-08,458
HARRIS,BETA ACADEMY,BETA ACADEMY,06-12,502
HARRIS,BETA ACADEMY,BETA ACADEMY,EE-05,984
LUBBOCK,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,KG-05,174
BEXAR,BEXAR COUNTY ACADEMY,BEXAR COUNTY ACADEMY,EE-08,198
KERR,BIG SPRINGS CHARTER SCHOOL,HILL COUNTRY YOUTH RANCH,KG-12,80
REAL,BIG SPRINGS CHARTER SCHOOL,BIG SPRINGS CHARTER SCHOOL,KG-12,105
HARRIS,BLOOM ACADEMY CHARTER SCHOOL,BLOOM ACADEMY CHARTER SCHOOL,KG-05,400
JEFFERSON,BOB HOPE SCHOOL,BOB HOPE H S,09-12,551
JEFFERSON,BOB HOPE SCHOOL,BOB HOPE SCHOOL,06-08,443
HARRIS,BOB HOPE SCHOOL,BOB HOPE EL SCHOOL-BAYTOWN,EE-05,271
JEFFERSON,BOB HOPE SCHOOL,BOB HOPE SCHOOL - EL CAMPUS,PK-05,642
JEFFERSON,BOB HOPE SCHOOL,BOB HOPE SCHOOL BEAUMONT,PK-08,602
SOMERVELL,BRAZOS RIVER CHARTER SCHOOL,BRAZOS RIVER CHARTER SCHOOL,KG-12,66
BRAZOS,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY BRYAN/COL,PK-08,134
HARRIS,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY TIDWELL,PK-08,158
DENTON,BRIDGEWAY PREPARATORY ACADEMY,BRIDGEWAY PREPARATORY ACADEMY,EE-08,125
HIDALGO,BRILLANTE ACADEMY,BRILLANTE ACADEMY,EE-05,196
EL PASO,BURNHAM WOOD CHARTER SCHOOL DISTRICT,HOWARD BURNHAM EL,PK-05,316
EL PASO,BURNHAM WOOD CHARTER SCHOOL DISTRICT,DAVINCI SCHOOL FOR SCIENCE AND THE ARTS,06-12,965
EL PASO,BURNHAM WOOD CHARTER SCHOOL DISTRICT,THE LINGUISTIC ACAD OF EL PASO-CULTURAL DEMO SITE,PK-06,378
HARRIS,CALVIN NELMS CHARTER SCHOOLS,CALVIN NELMS H S,09-12,168
HARRIS,CALVIN NELMS CHARTER SCHOOLS,CALVIN NELMS MIDDLE,06-08,156
TRAVIS,CEDARS INTERNATIONAL ACADEMY,CEDARS ACADEMY NEXT GENERATION H S AT HIGHLAND,09-12,112
TRAVIS,CEDARS INTERNATIONAL ACADEMY,CEDARS INTERNATIONAL ACADEMY,PK-08,349
TRAVIS,CHAPARRAL STAR ACADEMY,CHAPARRAL STAR ACADEMY,KG-12,360
TARRANT,CHAPEL HILL ACADEMY,CHAPEL HILL ACADEMY,PK-08,535
DALLAS,CITYSCAPE SCHOOLS,BUCKNER PREPARATORY,EE-12,394
DALLAS,CITYSCAPE SCHOOLS,EAST GRAND PREPARATORY ACADEMY,PK-12,836
BEXAR,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE LEGACY,06-12,550
BEXAR,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE LEGACY EL,PK-05,326
BEXAR,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE INGENUITY,PK-12,736
TRAVIS,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE DESTINY,PK-12,655
BASTROP,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE HARVEST,PK-12,462
BEXAR,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE IMPACT,09-12,76
BEXAR,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE JOURNEY,PK-12,572
BEXAR,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE DREAM,PK-12,223
HARRIS,COMQUEST ACADEMY,COMQUEST ACADEMY,KG-12,51
NUECES,CORPUS CHRISTI MONTESSORI SCHOOL,CORPUS CHRISTI MONTESSORI SCHOOL,01-08,131
PARKER,CROSSTIMBERS ACADEMY,CROSSTIMBERS ACADEMY,05-12,135
SMITH,CUMBERLAND ACADEMY,CUMBERLAND H S,09-12,551
SMITH,CUMBERLAND ACADEMY,CUMBERLAND ACADEMY MIDDLE,06-08,369
SMITH,CUMBERLAND ACADEMY,CUMBERLAND ACADEMY LOWER EL,PK-02,432
SMITH,CUMBERLAND ACADEMY,CUMBERLAND ACADEMY UPPER EL,03-05,390
SMITH,CUMBERLAND ACADEMY,THE LEADERSHIP ACADEMY,KG-08,293
HAYS,DORAL ACADEMY OF TEXAS,DORAL ACADEMY OF TEXAS,PK-08,346
NUECES,DR M L GARZA-GONZALEZ CHARTER SCHOOL,DR M L GARZA-GONZALEZ CHARTER SCHOOL,PK-08,162
HARRIS,DRAW ACADEMY,DRAW ACADEMY,EE-08,677
TARRANT,EAST FORT WORTH MONTESSORI ACADEMY,EAST FORT WORTH MONTESSORI ACADEMY,EE-05,184
GREGG,EAST TEXAS CHARTER SCHOOLS,DAN CHADWICK CAMPUS,09-12,128
DALLAS,EDUCATION CENTER INTERNATIONAL ACADEMY,EDUCATION CENTER INTERNATIONAL ACADEMY 2,PK-06,127
DALLAS,EDUCATION CENTER INTERNATIONAL ACADEMY,EDUCATION CENTER INTERNATIONAL ACADEMY 1,PK-06,175
ROCKWALL,EDUCATION CENTER INTERNATIONAL ACADEMY,EDUCATION CENTER INTERNATIONAL ACADEMY 3,PK-06,136
JEFFERSON,EHRHART SCHOOL,EHRHART SCHOOL,PK-08,520
EL PASO,EL PASO ACADEMY,EL PASO ACADEMY,09-12,240
EL PASO,EL PASO ACADEMY,EL PASO ACADEMY WEST,09-12,141
EL PASO,EL PASO LEADERSHIP ACADEMY,EL PASO LEADERSHIP ACADEMY,06-08,185
EL PASO,EL PASO LEADERSHIP ACADEMY,EL PASO LEADERSHIP ACADEMY - MIDDLE EAST,06-08,239
EL PASO,EL PASO LEADERSHIP ACADEMY,EL PASO LEADERSHIP ACADEMY - H S EAST,09-12,371
BEXAR,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,KG-08,500
HARRIS,ELEVATE COLLEGIATE CHARTER SCHOOL,ELEVATE COLLEGIATE,PK-05,174
SAN PATRICIO,ERATH EXCELS ACADEMY INC,COASTAL HORIZONS ACADEMY,07-12,63
ERATH,ERATH EXCELS ACADEMY INC,HUSTON ACADEMY,07-12,50
BEXAR,ESSENCE PREPARATORY CHARTER SCHOOL,ESSENCE PREPARATORY CHARTER SCHOOL,PK-06,180
HARRIS,ETOILE ACADEMY CHARTER SCHOOL,ETOILE ACADEMY CHARTER SCHOOL,KG-01 05-08,590
HARRIS,ETOILE ACADEMY CHARTER SCHOOL,ETOILE ACADEMY CHARTER SCHOOL-BISSONNET,KG-01 05-06,216
DALLAS,EVOLUTION ACADEMY CHARTER SCHOOL,EVOLUTION ACADEMY CHARTER SCHOOL,09-12,241
JEFFERSON,EVOLUTION ACADEMY CHARTER SCHOOL,EVOLUTION ACADEMY BEAUMONT,09-12,221
HARRIS,EVOLUTION ACADEMY CHARTER SCHOOL,EVOLUTION ACADEMY HOUSTON,09-12,216
HARRIS,EXCEL ACADEMY,HARRIS COUNTY JUVENILE DETENTION CENTER,03-12,113
HARRIS,EXCEL ACADEMY,HARRIS COUNTY YOUTH VILLAGE,03-AE,37
HARRIS,EXCEL ACADEMY,LEADERSHIP ACADEMY,03-AE,35
HARRIS,EXCEL ACADEMY,EXCEL ACADEMY EDUCATION TRANSITION CENTER,03-12,49
HIDALGO,EXCELLENCE IN LEADERSHIP ACADEMY,EXCELLENCE IN LEADERSHIP ACADEMY,PK-12,220
DALLAS,FAITH FAMILY ACADEMY,OAK CLIFF FAITH FAMILY ACADEMY,PK-12,2468
ELLIS,FAITH FAMILY ACADEMY,FAITH FAMILY MASTER ACADEMY,PK-08,414
TARRANT,FORT WORTH ACADEMY OF FINE ARTS,FORT WORTH ACADEMY OF FINE ARTS EL,03-06,238
TARRANT,FORT WORTH ACADEMY OF FINE ARTS,FORT WORTH ACADEMY OF FINE ARTS,07-12,416
DALLAS,GATEWAY CHARTER ACADEMY,GATEWAY CHARTER ACADEMY,EE-05,390
DALLAS,GATEWAY CHARTER ACADEMY,GATEWAY CHARTER ACADEMY - MIDDLE - H S,06-12,216
BEXAR,GEORGE GERVIN ACADEMY,GEORGE GERVIN ACADEMY,PK-12,830
BEXAR,GEORGE GERVIN ACADEMY,RUTH JONES MCCLENDON MIDDLE,PK-12,49
HARRIS,GEORGE I SANCHEZ CHARTER,GEORGE I SANCHEZ CHARTER,EE-12,670
HARRIS,GEORGE I SANCHEZ CHARTER,GEORGE I SANCHEZ NORTH,EE-12,455
DALLAS,GOLDEN RULE CHARTER SCHOOL,GOLDEN RULE CHARTER SCHOOL,PK-12,532
DALLAS,GOLDEN RULE CHARTER SCHOOL,GOLDEN RULE,PK-08,101
DALLAS,GOLDEN RULE CHARTER SCHOOL,GOLDEN RULE SOUTHWEST,PK-12,199
DALLAS,GOLDEN RULE CHARTER SCHOOL,GOLDEN RULE GRAND PRAIRIE,PK-06,84
DALLAS,GOLDEN RULE CHARTER SCHOOL,GOLDEN RULE DESOTO,PK-12,467
DALLAS,GOLDEN RULE CHARTER SCHOOL,GOLDEN RULE SCHOOLS INC - WILMER,PK-08,14
WILLIAMSON,GOODWATER MONTESSORI SCHOOL,GOODWATER MONTESSORI SCHOOL,EE-08,396
BEXAR,GREAT HEARTS TEXAS,GREAT HEARTS MONTE VISTA NORTH,06-12,423
BEXAR,GREAT HEARTS TEXAS,GREAT HEARTS MONTE VISTA,KG-05,466
BEXAR,GREAT HEARTS TEXAS,GREAT HEARTS FOREST HEIGHTS,KG-10,1230
BEXAR,GREAT HEARTS TEXAS,GREAT HEARTS WESTERN HILLS,KG-10,1233
BEXAR,GREAT HEARTS TEXAS,GREAT HEARTS NORTHERN OAKS,KG-12,1466
BEXAR,GREAT HEARTS TEXAS,GREAT HEARTS LIVE OAK,KG-08,1067
DALLAS,GREAT HEARTS TEXAS,GREAT HEARTS IRVING,KG-05,775
TARRANT,GREAT HEARTS TEXAS,GREAT HEARTS LAKESIDE,KG-08,1119
BEXAR,GREAT HEARTS TEXAS,GREAT HEARTS INVICTUS,KG-08,784
BEXAR,GREAT HEARTS TEXAS,GREAT HEARTS ONLINE - TX,KG-08,817
DALLAS,GREAT HEARTS TEXAS,GREAT HEARTS IRVING UPPER,06-12,886
TARRANT,GREAT HEARTS TEXAS,GREAT HEARTS ARLINGTON,KG-09,969
TARRANT,GREAT HEARTS TEXAS,GREAT HEARTS PRAIRIE VIEW,KG-08,784
TRAVIS,HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,HARMONY SCIENCE ACADEMY - AUSTIN,PK-08,699
TRAVIS,HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,HARMONY SCHOOL OF SCIENCE - AUSTIN,PK-05,456
TRAVIS,HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,HARMONY SCIENCE ACADEMY-PFLUGERVILLE,06-12,795
WILLIAMSON,HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,HARMONY SCHOOL OF ENDEAVOR AUSTIN,PK-12,961
TRAVIS,HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,HARMONY SCHOOL OF INNOVATION - AUSTIN,PK-05,342
TRAVIS,HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,HARMONY SCIENCE ACADEMY - CEDAR PARK,PK-05,698
TRAVIS,HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,HARMONY SCHOOL OF EXCELLENCE - AUSTIN,06-12,558
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,HARMONY SCHOOL OF EXCELLENCE-HOUSTON,PK-12,1113
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,HARMONY SCHOOL OF ENDEAVOR-HOUSTON,KG-08,527
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,HARMONY SCHOOL OF ADVANCEMENT-HOUSTON,09-12,789
BRAZOS,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,HARMONY SCIENCE ACADEMY - BRYAN,PK-08,383
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,HARMONY SCHOOL OF TECHNOLOGY-HOUSTON,06-08,691
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,HARMONY SCHOOL OF ENRICHMENT - HOUSTON,KG-05,668
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,HARMONY SCHOOL OF DISCOVERY - HOUSTON,06-12,853
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,HARMONY SCHOOL OF ACHIEVEMENT - HOUSTON,KG-05,660
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,HARMONY SCIENCE ACADEMY - CYPRESS,KG-05,666
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,HARMONY SCIENCE ACADEMY-HOUSTON,09-12,708
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,HARMONY SCHOOL OF INNOVATION - HOUSTON,06-08,493
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,HARMONY SCHOOL OF INGENUITY-HOUSTON,06-12,764
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,HARMONY SCHOOL OF FINE ARTS AND TECHNOLOGY-HOUSTON,KG-08,749
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,HARMONY SCHOOL OF EXPLORATION- HOUSTON,PK-05,693
HARRIS,HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,HARMONY VIRTUAL ACADEMY,KG-12,239
FORT BEND,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,HARMONY SCHOOL OF INNOVATION-SUGAR LAND,KG-12,855
FORT BEND,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,HARMONY SCIENCE ACADEMY-SUGAR LAND,KG-05,753
JEFFERSON,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,HARMONY SCIENCE ACADEMY- BEAUMONT,KG-12,657
FORT BEND,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,HARMONY SCIENCE ACADEMY-KATY,PK-12,1331
FORT BEND,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,HARMONY SCHOOL OF INNOVATION - KATY,KG-12,788
FORT BEND,HARMONY PUBLIC SCHOOLS - HOUSTON WEST,HARMONY SCHOOL OF EXCELLENCE - SUGAR LAND,KG-08,1439
DALLAS,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCIENCE ACADEMY - GARLAND,PK-06,743
DENTON,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCHOOL OF INNOVATION - CARROLLTON,PK-05,435
MCLENNAN,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCIENCE ACAD (WACO),PK-05,566
DALLAS,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCHOOL OF INNOVATION - GARLAND,07-12,609
DALLAS,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCIENCE ACADEMY - DALLAS,KG-12,1068
DALLAS,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCIENCE ACADEMY - GRAND PRAIRIE,PK-08,496
TARRANT,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCIENCE ACADEMY- FORT WORTH,KG-05,637
TARRANT,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCIENCE ACADEMY - EULESS,06-12,620
COLLIN,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCHOOL OF INNOVATION - DALLAS,06-12,498
DALLAS,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCHOOL OF EXCELLENCE - DALLAS,KG-12,606
TARRANT,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCHOOL OF INNOVATION- EULESS,KG-05,688
DENTON,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCIENCE ACADEMY - CARROLLTON,06-12,545
TARRANT,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCHOOL OF INNOVATION - FORT WORTH,05-12,1041
COLLIN,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCIENCE ACADEMY - PLANO,PK-06,600
DALLAS,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCHOOL OF INNOVATION - GRAND PRAIRIE,PK-06,514
MCLENNAN,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,HARMONY SCHOOL OF INNOVATION - WACO,06-12,606
BEXAR,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,HARMONY SCIENCE ACAD (SAN ANTONIO),06-12,565
CAMERON,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,HARMONY SCIENCE ACADEMY - BROWNSVILLE,EE-08,512
WEBB,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,HARMONY SCHOOL OF INNOVATION - LAREDO,EE-05,666
WEBB,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,HARMONY SCIENCE ACADEMY - LAREDO,06-08,668
BEXAR,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,HARMONY SCHOOL OF EXCELLENCE - SAN ANTONIO,EE-05,311
WEBB,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,HARMONY SCHOOL OF EXCELLENCE - LAREDO,09-12,679
CAMERON,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,HARMONY SCHOOL OF INNOVATION - BROWNSVILLE,06-12,555
BEXAR,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,HARMONY SCHOOL OF SCIENCE- SAN ANTONIO,PK-07,496
BEXAR,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,HARMONY SCHOOL OF INNOVATION - SAN ANTONIO,EE-08,403
EL PASO,HARMONY PUBLIC SCHOOLS - WEST TEXAS,HARMONY SCIENCE ACAD (EL PASO),06-12,1003
EL PASO,HARMONY PUBLIC SCHOOLS - WEST TEXAS,HARMONY SCHOOL OF EXCELLENCE - EL PASO,KG-05,660
EL PASO,HARMONY PUBLIC SCHOOLS - WEST TEXAS,HARMONY SCHOOL OF INNOVATION - EL PASO,PK-12,1361
ECTOR,HARMONY PUBLIC SCHOOLS - WEST TEXAS,HARMONY SCIENCE ACADEMY - ODESSA,KG-08,540
LUBBOCK,HARMONY PUBLIC SCHOOLS - WEST TEXAS,HARMONY SCIENCE ACADEMY - LUBBOCK,PK-08,610
EL PASO,HARMONY PUBLIC SCHOOLS - WEST TEXAS,HARMONY SCHOOL OF SCIENCE - EL PASO,PK-09,1123
BEXAR,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,09-12,75
BEXAR,HERITAGE ACADEMY,HERITAGE ACADEMY,07-08,28
BEXAR,HERITAGE ACADEMY,HERITAGE ACADEMY OF WINDCREST,PK-05,115
BEXAR,HERITAGE ACADEMY,HERITAGE ACADEMY OF SAN ANTONIO,KG-08,26
VAL VERDE,HERITAGE ACADEMY,HERITAGE ACADEMY OF DEL RIO,06-12,183
