County,District_ISD,School_name,Grade_range,School_enroll_2023
HARRIS,KIPP TEXAS PUBLIC SCHOOLS,KIPP EXPLORE ACADEMY,EE-04,852
HARRIS,KIPP TEXAS PUBLIC SCHOOLS,KIPP CLIMB ACADEMY,EE-04,826
HARRIS,KIPP TEXAS PUBLIC SCHOOLS,KIPP ZENITH ACADEMY,EE-04,858
HARRIS,KIPP TEXAS PUBLIC SCHOOLS,KIPP NEXUS PRI,EE-04,819
HARRIS,KIPP TEXAS PUBLIC SCHOOLS,KIPP MOSAIC PRI,EE-04,961
FORT BEND,KIPP TEXAS PUBLIC SCHOOLS,KIPP JOURNEY PRI,EE-05,1092
FORT BEND,KIPP TEXAS PUBLIC SCHOOLS,KIPP UNITY PRI,EE-05,1022
DALLAS,KIPP TEXAS PUBLIC SCHOOLS,KIPP TRUTH EL,PK-04,489
DALLAS,KIPP TEXAS PUBLIC SCHOOLS,KIPP DESTINY EL,PK-04,413
BEXAR,KIPP TEXAS PUBLIC SCHOOLS,KIPP UN MUNDO PRI,KG-04,504
BEXAR,KIPP TEXAS PUBLIC SCHOOLS,KIPP ESPERANZA PRI,KG-04,502
TRAVIS,KIPP TEXAS PUBLIC SCHOOLS,KIPP AUSTIN OBRAS,PK-04,389
DALLAS,KIPP TEXAS PUBLIC SCHOOLS,KIPP PLEASANT GROVE PRI,PK-05,576
DALLAS,LA ACADEMIA DE ESTRELLAS,LA ACADEMIA DE ESTRELLAS,EE-05,711
DALLAS,LA ACADEMIA DE ESTRELLAS,LA ACADEMIA DE ESTRELLAS MIDDLE,06-08,299
EL PASO,LA FE PREPARATORY SCHOOL,LA FE PREPARATORY SCHOOL,PK-08,193
HOOD,LAKE GRANBURY ACADEMY CHARTER SCHOOL,LAKE GRANBURY ACADEMY,06-12,41
DENTON,LEADERSHIP PREP SCHOOL,LEADERSHIP PREP SCHOOL,KG-04,498
DENTON,LEADERSHIP PREP SCHOOL,LEADERSHIP PREP SCHOOL SECONDARY,05-12,881
DALLAS,LEGACY PREPARATORY,LEGACY PREP CHARTER ACADEMY MESQUITE WEST CAMPUS,KG-12,1065
COLLIN,LEGACY PREPARATORY,LEGACY PREPARATORY CHARTER ACADEMY PLANO,KG-12,183
HARRIS,LEGACY SCHOOL OF SPORT SCIENCES,LEGACY SCHOOL OF SPORT SCIENCES,06-12,487
BEXAR,LEGACY TRADITIONAL SCHOOLS - TEXAS,LEGACY TRADITIONAL SCHOOL - ALAMO RANCH,EE-08,604
BEXAR,LEGACY TRADITIONAL SCHOOLS - TEXAS,LEGACY TRADITIONAL - BASSE PRI,PK-05,218
BEXAR,LEGACY TRADITIONAL SCHOOLS - TEXAS,LEGACY TRADITIONAL- BASSE SECONDARY,06-12,196
GUADALUPE,LEGACY TRADITIONAL SCHOOLS - TEXAS,LEGACY TRADITIONAL SCHOOL - CIBOLO,EE-08,736
DALLAS,LIFE SCHOOL,LIFE SCHOOL OAK CLIFF,KG-12,1478
ELLIS,LIFE SCHOOL,LIFE H S WAXAHACHIE,09-12,1102
ELLIS,LIFE SCHOOL,LIFE MIDDLE WAXAHACHIE,07-08,595
DALLAS,LIFE SCHOOL,LIFE SCHOOL MOUNTAIN CREEK,KG-08,348
DALLAS,LIFE SCHOOL,LIFE SCHOOL CEDAR HILL,KG-06,450
DALLAS,LIFE SCHOOL,LIFE SCHOOL LANCASTER,KG-06,480
ELLIS,LIFE SCHOOL,LIFE SCHOOL RED OAK,KG-06,1040
DALLAS,LIFE SCHOOL,LIFE SCHOOL CARROLLTON,KG-06,241
BEXAR,LIGHTHOUSE PUBLIC SCHOOLS,LIGHTHOUSE EL,EE-05,233
BEXAR,LIGHTHOUSE PUBLIC SCHOOLS,LIGHTHOUSE MIDDLE,06-08,67
BEXAR,LIGHTHOUSE PUBLIC SCHOOLS,LIGHTHOUSE HIGH,09-12,82
COOKE,LONE STAR SCHOOL DISTRICT,LONE STAR H S NORTH,06-12,140
MCLENNAN,LONE STAR SCHOOL DISTRICT,LONE STAR H S CENTRAL,06-12,169
BROWN,LONE STAR SCHOOL DISTRICT,LONE STAR H S WEST,06-12,88
HIDALGO,LONE STAR SCHOOL DISTRICT,LONE STAR H S SOUTH,06-12,160
DALLAS,MANARA ACADEMY,MANARA LEADERSHIP ACADEMY,07-12,115
DALLAS,MANARA ACADEMY,MANARA ACADEMY,PK-06,209
TARRANT,MANARA ACADEMY,MANARA STEM ACADEMY - ARLINGTON,PK-08,276
KENDALL,MEADOWLAND CHARTER DISTRICT,OAKS ACADEMY,KG-12,47
BEXAR,MEADOWLAND CHARTER DISTRICT,STEPPING STONES ACADEMY,01-12,6
WILLIAMSON,MERIDIAN WORLD SCHOOL LLC,MERIDIAN WORLD SCHOOL LLC,KG-12,1729
HARRIS,MEYERPARK CHARTER,MEYERPARK EL,EE-07,293
MIDLAND,MIDLAND ACADEMY CHARTER SCHOOL,MIDLAND ACADEMY CHARTER SCHOOL,PK-08,402
TRAVIS,MONTESSORI FOR ALL,MAGNOLIA MONTESSORI FOR ALL,EE-08,478
BEXAR,NEW FRONTIERS PUBLIC SCHOOLS INC,FRANK L MADLA EARLY COLLEGE H S,09-12,179
BEXAR,NEW FRONTIERS PUBLIC SCHOOLS INC,IMELDA DAVIS EARLY COLLEGE H S,09-12,18
BEXAR,NEW FRONTIERS PUBLIC SCHOOLS INC,GREG A GARCIA EARLY COLLEGE INT,06-08,120
DALLAS,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,NEWMAN INTERNATIONAL AT CEDAR HILL,PK-12,982
TARRANT,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON GIBBINS,07-12,477
TARRANT,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,PK-06,648
TARRANT,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,NEWMAN INTERNATIONAL ACADEMY AT FORT WORTH,PK-06,218
TARRANT,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,NEWMAN INTERNATIONAL ACADEMY WATAUGA,PK-06,131
TARRANT,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,NEWMAN INTERNATIONAL ACADEMY OF MANSFIELD,KG-06,264
TARRANT,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,NEWMAN INTERNATIONAL ACADEMY MANSFIELD EAST,PK-06,110
TARRANT,NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,NEWMAN INTERNATIONAL ACADEMY BETHLEHEM,EE-06,24
DENTON,NORTH TEXAS COLLEGIATE ACADEMY,NORTH TEXAS COLLEGIATE ACADEMY-SOUTH CAMPUS,PK-08,270
DENTON,NORTH TEXAS COLLEGIATE ACADEMY,NORTH TEXAS COLLEGIATE ACADEMY-EAST CAMPUS,PK-08,270
DENTON,NORTH TEXAS COLLEGIATE ACADEMY,NORTH TEXAS COLLEGIATE ACADEMY-NORTH CAMPUS,PK-08,224
DALLAS,NOVA ACADEMY,NOVA ACADEMY,PK-04,83
DALLAS,NOVA ACADEMY SOUTHEAST,NOVA ACADEMY CEDAR HILL,EE-06,84
DALLAS,NOVA ACADEMY SOUTHEAST,NOVA ACADEMY PRICHARD,PK-08,281
TRAVIS,NYOS CHARTER SCHOOL,NYOS LAMAR SECONDARY,06-12,786
TRAVIS,NYOS CHARTER SCHOOL,NYOS LAMAR EL,PK-05,941
HARRIS,ODYSSEY ACADEMY INC,ODYSSEY ACADEMY - BAY AREA,PK-12,718
GALVESTON,ODYSSEY ACADEMY INC,ODYSSEY ACADEMY - GALVESTON,PK-12,829
WILLIAMSON,ORENDA CHARTER SCHOOL,GATEWAY TECH H S,09-12,46
BELL,ORENDA CHARTER SCHOOL,NOLAN CREEK SCHOOL,KG-08,138
WILLIAMSON,ORENDA CHARTER SCHOOL,GATEWAY COLLEGE PREPARATORY SCHOOL,KG-12,1626
LLANO,ORENDA CHARTER SCHOOL,KINGSLAND SCHOOL,KG-12,113
PANOLA,PANOLA CHARTER SCHOOL,PANOLA CS,08-12,29
PANOLA,PANOLA CHARTER SCHOOL,PANOLA EARLY COLLEGE H S,08-12,47
HARRISON,PANOLA CHARTER SCHOOL,TEXAS EARLY COLLEGE H S,08-12,93
DALLAS,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,PEGASUS CHARTER H S,KG-12,451
ANGELINA,PINEYWOODS COMMUNITY ACADEMY,PINEYWOODS COMMUNITY ACADEMY H S,09-12,262
ANGELINA,PINEYWOODS COMMUNITY ACADEMY,DR TERRY ROBBINS MIDDLE,06-08,255
ANGELINA,PINEYWOODS COMMUNITY ACADEMY,SARAH STRINDEN EL,PK-05,505
DALLAS,PIONEER TECHNOLOGY & ARTS ACADEMY,PIONEER TECHNOLOGY (PTAA) MESQUITE,KG-12,621
HUNT,PIONEER TECHNOLOGY & ARTS ACADEMY,PIONEER TECHNOLOGY (PTAA) GREENVILLE,KG-12,777
ROCKWALL,PIONEER TECHNOLOGY & ARTS ACADEMY,PIONEER TECHNOLOGY (PTAA) FATE,KG-12,373
DALLAS,PIONEER TECHNOLOGY & ARTS ACADEMY,PIONEER TECHNOLOGY (PTAA) MESQUITE EL,KG-05,280
ROCKWALL,PIONEER TECHNOLOGY & ARTS ACADEMY,PIONEER TECHNOLOGY (PTAA) ROYSE CITY EL,KG-05,255
DALLAS,PIONEER TECHNOLOGY & ARTS ACADEMY,PIONEER TECHNOLOGY AND ARTS ACADEMY NORTH DALLAS,KG-12,297
BEXAR,POR VIDA ACADEMY,POR VIDA ACADEMY CHARTER H S,09-12,128
NUECES,POR VIDA ACADEMY,POR VIDA ACADEMY CORPUS CHRISTI,09-12,77
BEXAR,POSITIVE SOLUTIONS CHARTER SCHOOL,POSITIVE SOLUTIONS CHARTER,09-12,81
BEXAR,PRELUDE PREPARATORY CHARTER SCHOOL,PRELUDE PREPARATORY CHARTER SCHOOL,PK-08,138
BROWN,PREMIER HIGH SCHOOLS,PREMIER H S OF COMANCHE/EARLY,06-12,66
CAMERON,PREMIER HIGH SCHOOLS,PREMIER H S OF BROWNSVILLE,09-12,116
HIDALGO,PREMIER HIGH SCHOOLS,PREMIER H S OF PALMVIEW,09-12,107
VAL VERDE,PREMIER HIGH SCHOOLS,PREMIER H S OF DEL RIO,09-12,65
TARRANT,PREMIER HIGH SCHOOLS,PREMIER H S OF FORT WORTH,09-12,111
LUBBOCK,PREMIER HIGH SCHOOLS,PREMIER H S OF LUBBOCK,09-12,170
WEBB,PREMIER HIGH SCHOOLS,PREMIER H S OF LAREDO,09-12,139
HIDALGO,PREMIER HIGH SCHOOLS,PREMIER H S OF WESLACO,09-12,146
TAYLOR,PREMIER HIGH SCHOOLS,PREMIER H S OF ABILENE,09-12,174
TRAVIS,PREMIER HIGH SCHOOLS,PREMIER HIGH SCHOOL-AUSTIN SOUTH CAMPUS,06-12,149
MIDLAND,PREMIER HIGH SCHOOLS,PREMIER H S OF MIDLAND,09-12,163
BEXAR,PREMIER HIGH SCHOOLS,PREMIER HIGH SCHOOL-SAN ANTONIO WINDCREST,09-12,75
HIDALGO,PREMIER HIGH SCHOOLS,PREMIER H S OF MISSION,09-12,162
SMITH,PREMIER HIGH SCHOOLS,PREMIER H S OF TYLER,09-12,40
TRAVIS,PREMIER HIGH SCHOOLS,PREMIER HIGH SCHOOL-AUSTIN WELLS BRANCH,09-12,110
HIDALGO,PREMIER HIGH SCHOOLS,PREMIER H S OF SAN JUAN,09-12,124
MCLENNAN,PREMIER HIGH SCHOOLS,PREMIER H S OF WACO,09-12,154
TARRANT,PREMIER HIGH SCHOOLS,PREMIER H S OF ARLINGTON,09-12,210
EL PASO,PREMIER HIGH SCHOOLS,PREMIER HIGH SCHOOL-EL PASO MESA,09-12,124
COMAL,PREMIER HIGH SCHOOLS,PREMIER H S OF NEW BRAUNFELS,09-12,82
WALKER,PREMIER HIGH SCHOOLS,PREMIER H S OF HUNTSVILLE,09-12,78
HOOD,PREMIER HIGH SCHOOLS,PREMIER H S OF GRANBURY,09-12,138
TARRANT,PREMIER HIGH SCHOOLS,PREMIER H S OF SOUTH IRVING,09-12,18
RANDALL,PREMIER HIGH SCHOOLS,PREMIER H S OF AMARILLO,09-12,242
DENTON,PREMIER HIGH SCHOOLS,PREMIER H S ONLINE,09-12,2677
TRAVIS,PREMIER HIGH SCHOOLS,PREMIER H S OF PFLUGERVILLE,09-12,97
EL PASO,PREMIER HIGH SCHOOLS,PREMIER HIGH SCHOOL-EL PASO EASTPOINTE,09-12,145
HIDALGO,PREMIER HIGH SCHOOLS,PREMIER HIGH SCHOOLS - EDINBURG CAREER & TECHNICAL,09-12,150
LIBERTY,PREMIER HIGH SCHOOLS,PREMIER H S OF DAYTON,09-12,87
BOWIE,PREMIER HIGH SCHOOLS,PREMIER H S OF TEXARKANA,09-12,129
BEXAR,PREMIER HIGH SCHOOLS,PREMIER HIGH SCHOOL-SAN ANTONIO INGRAM,09-12,112
TOM GREEN,PREMIER HIGH SCHOOLS,PREMIER H S - SAN ANGELO,09-12,172
ECTOR,PREMIER HIGH SCHOOLS,PREMIER H S ODESSA,09-12,61
BEXAR,PREMIER HIGH SCHOOLS,FOUNDATION SCHOOL OF AUTISM - SAN ANTONIO,EE-05,32
HARRIS,PREMIER HIGH SCHOOLS,PREMIER H S-HOUSTON (CHAMPIONS),09-12,131
COLLIN,PREMIER HIGH SCHOOLS,PREMIER H S-FOUNDATION SCHOOL OF AUTISM-PLANO,EE-01,12
RANDALL,PREMIER HIGH SCHOOLS,PREMIER HIGH SCHOOL-CANYON,09-12,44
HARRIS,PREMIER HIGH SCHOOLS,PREMIER H S - HOUSTON - HOBBY,09-12,97
NUECES,PREMIER HIGH SCHOOLS,PREMIER H S - CORPUS CHRISTI,09-12,124
LUBBOCK,PREMIER HIGH SCHOOLS,PREMIER H S - LUBBOCK (BRIERCROFT),09-12,107
WICHITA,PREMIER HIGH SCHOOLS,PREMIER H S - WICHITA FALLS,09-12,92
HARRIS,PREMIER HIGH SCHOOLS,PREMIER H S - HOUSTON (SHARPSTOWN),09-12,54
TARRANT,PREMIER HIGH SCHOOLS,PREMIER H S - FORT WORTH (SOUTHSIDE),09-12,134
TARRANT,PREMIER HIGH SCHOOLS,PREMIER H S - FORT WORTH (JACKSBORO),09-12,113
DALLAS,PREMIER HIGH SCHOOLS,PREMIER H S MESQUITE,09-12,37
GREGG,PREMIER HIGH SCHOOLS,PREMIER H S - LONGVIEW,09-12,39
HARRIS,PREMIER HIGH SCHOOLS,PREMIER H S - HOUSTON (GREENSPOINT),09-12,52
DALLAS,PREMIER HIGH SCHOOLS,PREMIER H S - DESOTO,09-12,77
BELL,PRIORITY CHARTER SCHOOLS,PRIORITY CHARTER SCHOOLS - KILLEEN,KG-04,19
CORYELL,PRIORITY CHARTER SCHOOLS,PRIORITY CHARTER SCHOOLS COPPERAS COVE,PK-12,246
BELL,PRIORITY CHARTER SCHOOLS,PRIORITY CHARTER SCHOOLS TEMPLE,PK-12,221
BEXAR,PROMESA ACADEMY CHARTER SCHOOL,PROMESA ACADEMY CHARTER SCHOOL,KG-05,421
VAN ZANDT,RANCH ACADEMY,RANCH ACADEMY,06-12,74
MCLENNAN,RAPOPORT ACADEMY PUBLIC SCHOOL,AUDRE AND BERNARD RAPOPORT ACADEMY,PK-04,399
MCLENNAN,RAPOPORT ACADEMY PUBLIC SCHOOL,QUINN CAMPUS PUBLIC MIDDLE,05-08,258
MCLENNAN,RAPOPORT ACADEMY PUBLIC SCHOOL,PAUL AND JANE MEYER PUBLIC H S,09-12,227
HARRIS,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,EARLY COLLEGE T-STEM ACADEMY,09-12,315
HARRIS,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,EARLY COLLEGE STEM ACADEMY,06-08,280
CAMERON,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,BRYSS ACADEMY,PK-08,542
HARRIS,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,PSTEM ACADEMY,PK-05,489
HARRIS,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,NORTH EAST STEM ACADEMY,06-08,114
HARRIS,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,RYSS STEM ACADEMY AT FIRST FRIENDS PASADENA,EE-02,68
WALKER,RAVEN SCHOOL,THOMAS BUZBEE VOCATIONAL SCHOOL,09-12,36
HARRIS,REVE PREPARATORY CHARTER SCHOOL,REVE PREPARATORY CHARTER SCHOOL,PK-08,218
BELL,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),RICHARD MILBURN ALTER H S (KILLEEN),09-12,122
LUBBOCK,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),RICHARD MILBURN ACADEMY LUBBOCK,09-12,134
ECTOR,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),RICHARD MILBURN ACADEMY ODESSA,09-12,348
HARRIS,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),RICHARD MILBURN ACADEMY HOUSTON (SUBURBAN),09-12,144
NUECES,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),RICHARD MILBURN ACADEMY CORPUS CHRISTI,09-12,210
TARRANT,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),RICHARD MILBURN ACADEMY FORT WORTH,09-12,117
RANDALL,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),RICHARD MILBURN ACADEMY AMARILLO,09-12,122
MIDLAND,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),RICHARD MILBURN ACADEMY MIDLAND,09-12,126
HARRIS,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),RICHARD MILBURN ACADEMY PASADENA,09-12,127
DALLAS,RICHLAND COLLEGIATE HIGH SCHOOL,RICHLAND COLLEGIATE H S OF MATH SCIENCE ENGINEERIN,11-12,275
LUBBOCK,RISE ACADEMY,RISE ACADEMY,PK-08,301
TARRANT,ROCKETSHIP PUBLIC SCHOOLS,ROCKETSHIP EXPLORE EL,PK-05,228
TARRANT,ROCKETSHIP PUBLIC SCHOOLS,ROCKETSHIP DENNIS DUNKINS EL,PK-05,417
BEXAR,ROYAL PUBLIC SCHOOLS,ROYAL ACADEMY OF EXCELLENCE,KG-12,345
HARRIS,SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,KG-06,468
BEXAR,SAN ANTONIO PREPARATORY SCHOOLS,SAN ANTONIO PREPARATORY,05-12,139
BEXAR,SCHOOL OF SCIENCE AND TECHNOLOGY,SST ALAMO,PK-06,846
BEXAR,SCHOOL OF SCIENCE AND TECHNOLOGY,SST SA COLLEGE PREP H S,06-12,547
COMAL,SCHOOL OF SCIENCE AND TECHNOLOGY,SST SCHERTZ,PK-07,859
HARRIS,SCHOOL OF SCIENCE AND TECHNOLOGY,SST CHAMPIONS,PK-12,1493
HARRIS,SCHOOL OF SCIENCE AND TECHNOLOGY,SST SPRING,PK-08,833
HARRIS,SCHOOL OF SCIENCE AND TECHNOLOGY,SST THE WOODLANDS,PK-08,475
BEXAR,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,SST DISCOVERY,PK-08,554
NUECES,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,SST CORPUS CHRISTI,PK-12,2455
BEXAR,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,SST NORTHWEST,PK-08,737
BEXAR,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,SST HILL COUNTRY COLLEGE PREP H S,06-11,183
BEXAR,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,SST HILL COUNTRY,06-11,609
HARRIS,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,SST ADVANCEMENT,PK-08,630
FORT BEND,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,SST SUGARLAND,PK-07,701
FORT BEND,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,SST SUGAR LAND COLLEGE PREP H S,08-09,98
NUECES,SEASHORE CHARTER SCHOOLS,SEASHORE MIDDLE ACAD,05-08,166
NUECES,SEASHORE CHARTER SCHOOLS,SEASHORE LEARNING CENTER,KG-04,244
HARRIS,SER-NINOS CHARTER SCHOOL,SER-NINOS CHARTER MIDDLE,06-08,251
HARRIS,SER-NINOS CHARTER SCHOOL,SER-NINOS CHARTER EL,PK-05,526
HARRIS,SER-NINOS CHARTER SCHOOL,SER-NINOS CHARTER HIGH,09-12,102
HARRIS,SER-NINOS CHARTER SCHOOL,SER-NINOS CHARTER EL II,PK-05,275
BEXAR,SOMERSET ACADEMIES OF TEXAS,SOMERSET ACADEMY BROOKS,PK-12,1251
BEXAR,SOMERSET ACADEMIES OF TEXAS,SOMERSET ACADEMY LONE STAR,PK-07,173
BEXAR,SOMERSET ACADEMIES OF TEXAS,SOMERSET ACADEMY OAKS,PK-06,182
BEXAR,SOMERSET ACADEMIES OF TEXAS,SOMERSET ACADEMY COLLEGIATE,PK-12,1211
BEXAR,SOUTHWEST PREPARATORY SCHOOL,NORTHEAST EL CAMPUS,PK-05,53
BEXAR,SOUTHWEST PREPARATORY SCHOOL,SOUTHWEST PREPARATORY SCHOOL-NORTHWEST,06-12,136
BEXAR,SOUTHWEST PREPARATORY SCHOOL,SOUTHWEST PREPARATORY SOUTHEAST CAMPUS,PK-12,186
BEXAR,SOUTHWEST PREPARATORY SCHOOL,NORTHEAST CAMPUS,06-12,59
BEXAR,SOUTHWEST PREPARATORY SCHOOL,SOUTHWEST PREP NORTHWEST EL,PK-05,85
GUADALUPE,SOUTHWEST PREPARATORY SCHOOL,SEGUIN CAMPUS,PK-12,273
HARRIS,SOUTHWEST PUBLIC SCHOOLS,EMPOWERMENT H S,09-12,414
HARRIS,SOUTHWEST PUBLIC SCHOOLS,SOUTHWEST SCHOOLS BISSONNET EL CAMPUS,EE-05,455
HARRIS,SOUTHWEST PUBLIC SCHOOLS,DISCOVERY MIDDLE,06-08,249
HARRIS,SOUTHWEST PUBLIC SCHOOLS,PHOENIX SCHOOL AT SOUTHWEST SCHOOLS,EE-12,137
HARRIS,SOUTHWEST PUBLIC SCHOOLS,SOUTHWEST SCHOOLS MANGUM EL CAMPUS,EE-05,370
DALLAS,ST ANTHONY SCHOOL,ST ANTHONY SCHOOL,06-08,122
DALLAS,ST ANTHONY SCHOOL,ST ANTHONY ACADEMY,KG-05,208
BEE,ST MARY'S ACADEMY CHARTER SCHOOL,ST MARY'S ACADEMY CHARTER SCHOOL,KG-08,299
HARRIS,STEP CHARTER SCHOOL,STEP CHARTER EL,KG-08,292
HARRIS,STEP CHARTER SCHOOL,STEP CHARTER II,KG-08,306
NACOGDOCHES,STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,KG-05,254
JEFFERSON,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,TEKOA ACADEMY OF ACCELERATED STUDIES,09-12,58
JEFFERSON,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,TEKOA ACADEMY OF ACCELERATED STUDIES,06-08,49
JEFFERSON,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,TEKOA ACADEMY OF ACCELERATED STUDIES,PK-05,211
ORANGE,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,TEKOA ACADEMY OF ACCELERATED STUDIES - ORANGE,PK-08,111
DALLAS,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - CARROLLTON-FARMERS BRANCH,09-12,249
DALLAS,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - PLEASANT GROVE,09-12,510
DALLAS,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - OAK CLIFF,09-12,414
DALLAS,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - DALLAS NORTH,09-12,260
DALLAS,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - GRANT EAST,09-12,212
TRAVIS,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - AUSTIN,09-12,195
HARRIS,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - HOUSTON NORTH,09-12,252
TARRANT,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - FORT WORTH WESTCREEK,09-12,240
BEXAR,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - SAN ANTONIO,09-12,138
TARRANT,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - FORT WORTH LANCASTER AVENUE,09-12,352
DALLAS,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - GARLAND,09-12,130
HARRIS,TEXANS CAN ACADEMIES,TEXANS CAN ACADEMY - HOUSTON SOUTHWEST,09-12,345
