County,District_ISD,School_name,Grade_range,School_enroll_2023
RANDALL,TEXAS COLLEGE PREPARATORY ACADEMIES,AMARILLO COLLEGIATE ACADEMY,PK-12,475
DALLAS,TEXAS COLLEGE PREPARATORY ACADEMIES,COPPELL CLASSICAL ACADEMY,KG-05,381
DENTON,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY CORINTH - UPPER SCHOOL,07-12,477
DALLAS,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY- CARROLLTON,KG-12,534
DALLAS,TEXAS COLLEGE PREPARATORY ACADEMIES,IGNITE COMMUNITY SCHOOL - GARLAND,PK-08,297
DENTON,TEXAS COLLEGE PREPARATORY ACADEMIES,ISCHOOL VIRTUAL ACADEMY OF TEXAS,09-12,925
WALKER,TEXAS COLLEGE PREPARATORY ACADEMIES,IGNITE COMMUNITY SCHOOL - HUNTSVILLE,KG-08,403
MONTGOMERY,TEXAS COLLEGE PREPARATORY ACADEMIES,QUEST COLLEGIATE ACADEMY - SHENANDOAH,KG-08,386
DENTON,TEXAS COLLEGE PREPARATORY ACADEMIES,LEWISVILLE SCHOOL OF SCIENCE AND TECHNOLOGY UPPER,07-12,183
DENTON,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY - LEWISVILLE,PK-12,923
DALLAS,TEXAS COLLEGE PREPARATORY ACADEMIES,IGNITE COMMUNITY SCHOOL - MOUNTAIN CREEK,PK-08,167
HIDALGO,TEXAS COLLEGE PREPARATORY ACADEMIES,QUEST COLLEGIATE ACADEMY-MCALLEN,PK-06,84
DENTON,TEXAS COLLEGE PREPARATORY ACADEMIES,LEWISVILLE SCHOOL OF SCIENCE AND TECHNOLOGY LOWER,KG-06,108
HOUSTON,TEXAS COLLEGE PREPARATORY ACADEMIES,QUEST COLLEGIATE ACADEMY - CROCKETT,PK-08,103
SMITH,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY-TYLER,PK-12,544
HARRIS,TEXAS COLLEGE PREPARATORY ACADEMIES,IGNITE COMMUNITY SCHOOL - PASADENA,PK-08,220
JEFFERSON,TEXAS COLLEGE PREPARATORY ACADEMIES,IGNITE COMMUNITY SCHOOL - BEAUMONT,KG-06,198
HARRIS,TEXAS COLLEGE PREPARATORY ACADEMIES,ISCHOOL HIGH AT UNIVERSITY PARK,07-12,420
HARRIS,TEXAS COLLEGE PREPARATORY ACADEMIES,IGNITE COMMUNITY SCHOOL - HUMBLE,KG-05,188
MONTGOMERY,TEXAS COLLEGE PREPARATORY ACADEMIES,ISCHOOL HIGH AT THE WOODLANDS,09-12,292
TRAVIS,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY-AUSTIN NORTH,KG-08,144
WILLIAMSON,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY OF LEANDER,KG-12,683
DALLAS,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY OF MESQUITE,KG-12,511
GALVESTON,TEXAS COLLEGE PREPARATORY ACADEMIES,IGNITE COMMUNITY SCHOOL - MAINLAND,PK-08,337
HARRIS,TEXAS COLLEGE PREPARATORY ACADEMIES,IGNITE COMMUNITY SCHOOL - FALLBROOK,KG-09,285
DENTON,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY OF FLOWER MOUND,KG-12,994
DENTON,TEXAS COLLEGE PREPARATORY ACADEMIES,DENTON CLASSICAL ACADEMY,KG-05,198
DENTON,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY CORINTH,KG-06,537
BEXAR,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY OF SCHERTZ,KG-12,800
MIDLAND,TEXAS COLLEGE PREPARATORY ACADEMIES,CLASSICAL ACADEMY - PERMIAN BASIN,PK-08,258
HARRIS,TEXAS COLLEGE PREPARATORY ACADEMIES,EASTEX-JENSEN NEIGHBORHOOD SCHOOL,PK-08,209
HARRIS,TEXAS COLLEGE PREPARATORY ACADEMIES,WESTCHASE NEIGHBORHOOD SCHOOL,PK-08,458
COLLIN,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY - FRISCO,KG-12,1038
EL PASO,TEXAS COLLEGE PREPARATORY ACADEMIES,EL PASO CLASSICAL ACADEMY,PK-12,263
BASTROP,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY-BASTROP,KG-10,193
HARRIS,TEXAS COLLEGE PREPARATORY ACADEMIES,ISCHOOL HIGH - ATASCOCITA,08-12,127
TARRANT,TEXAS COLLEGE PREPARATORY ACADEMIES,IGNITE COMMUNITY SCHOOL-FORT WORTH,EE-08,363
MONTGOMERY,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY - CONROE,KG-08,703
GRAYSON,TEXAS COLLEGE PREPARATORY ACADEMIES,QUEST COLLEGIATE ACADEMY-WHITEWRIGHT,KG-12,113
COLLIN,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY OF PROSPER,KG-09,882
HARRIS,TEXAS COLLEGE PREPARATORY ACADEMIES,ISCHOOL-CREEKSIDE,09-12,116
TARRANT,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY - FORT WORTH,KG-08,12
HALE,TEXAS COLLEGE PREPARATORY ACADEMIES,PLAINVIEW CLASSICAL ACADEMY,KG-12,213
DENTON,TEXAS COLLEGE PREPARATORY ACADEMIES,FOUNDERS CLASSICAL ACADEMY-ONLINE,KG-12,173
TRAVIS,TEXAS EMPOWERMENT ACADEMY,TEXAS EMPOWERMENT ACADEMY,03-12,253
TRAVIS,TEXAS EMPOWERMENT ACADEMY,TEXAS EMPOWERMENT ACADEMY EL,PK-03,178
MIDLAND,TEXAS LEADERSHIP PUBLIC SCHOOLS,TEXAS LEADERSHIP OF MIDLAND,PK-12,830
TARRANT,TEXAS LEADERSHIP PUBLIC SCHOOLS,TRINITY LEADERSHIP,PK-12,924
TOM GREEN,TEXAS LEADERSHIP PUBLIC SCHOOLS,TEXAS LEADERSHIP OF SAN ANGELO,PK-12,1451
TAYLOR,TEXAS LEADERSHIP PUBLIC SCHOOLS,TEXAS LEADERSHIP OF ABILENE,PK-12,870
TRAVIS,TEXAS PREPARATORY SCHOOL,TEXAS PREPARATORY SCHOOL - AUSTIN CAMPUS,KG-06,37
HAYS,TEXAS PREPARATORY SCHOOL,TEXAS PREPARATORY SCHOOL,KG-06,61
TRAVIS,TEXAS SCH FOR THE BLIND & VISUALLY IMPAIRED,TEXAS SCHOOL FOR THE BLIND AND VISUALLY IMPAIRED,01-12,123
TRAVIS,TEXAS SCH FOR THE DEAF,TEXAS SCHOOL FOR THE DEAF,EE-12,487
TARRANT,TEXAS SCHOOL OF THE ARTS,TEXAS SCHOOL OF THE ARTS,KG-05,333
LUBBOCK,TEXAS TECH UNIVERSITY K-12,TEXAS TECH UNIVERSITY K-12,KG-12,724
RUSK,THE EXCEL CENTER (FOR ADULTS),BILLY MOORE,09-12,140
CALDWELL,THE EXCEL CENTER (FOR ADULTS),THE EXCEL CENTER FOR ADULTS - LOCKHART,09-12,193
CALDWELL,THE EXCEL CENTER (FOR ADULTS),THE EXCEL CENTER (FOR ADULTS),09-AE,506
TRAVIS,THE EXCEL CENTER (FOR ADULTS),THE EXCEL CENTER FOR ADULTS - SOUTH AUSTIN,09-12,109
TRAVIS,THE EXCEL CENTER (FOR ADULTS),DIBOLL,09-12,69
BEXAR,THE GATHERING PLACE,THE GATHERING PLACE,KG-05,618
HARRIS,THE LAWSON ACADEMY,THE LAWSON ACADEMY,EE-08,195
HARRIS,THE PRO-VISION ACADEMY,PRO-VISION MIDDLE,06-12,168
HARRIS,THE PRO-VISION ACADEMY,THE PRO-VISION ACADEMY,09-12,227
HARRIS,THE RHODES SCHOOL FOR PERFORMING ARTS,THE RHODES SCHOOL - HUMBLE,PK-08,370
HARRIS,THE RHODES SCHOOL FOR PERFORMING ARTS,THE RHODES SCHOOL - NORTHSHORE CAMPUS,PK-07,205
HARRIS,THE VARNETT PUBLIC SCHOOL,THE VARNETT SCHOOL - NORTHEAST,PK-08,369
HARRIS,THE VARNETT PUBLIC SCHOOL,VARNETT CHARTER SCHOOL,PK-08,501
HARRIS,THE VARNETT PUBLIC SCHOOL,THE VARNETT SCHOOL - EAST,PK-06,272
MONTGOMERY,THRIVE CENTER FOR SUCCESS,THRIVE CENTER FOR SUCCESS,KG-12,127
TARRANT,TREETOPS SCHOOL INTERNATIONAL,TREETOPS SCHOOL INTERNATIONAL,PK-12,358
DALLAS,TRINITY BASIN PREPARATORY,TRINITY BASIN PREPARATORY,PK-08,2017
TARRANT,TRINITY BASIN PREPARATORY,TRINITY BASIN PREPARATORY,PK-08,2031
DALLAS,TRINITY BASIN PREPARATORY,TRINITY BASIN PREPARATORY INC,EE-08,816
DALLAS,TRINITY BASIN PREPARATORY,TRINITY BASIN PREPARATORY - GRAND PRAIRIE,EE-08,228
TARRANT,TRINITY BASIN PREPARATORY,TRINITY BASIN PREPARATORY HPA SOUTH,EE-06,435
TARRANT,TRINITY BASIN PREPARATORY,TRINITY BASIN PREPARATORY HPA UPPER SCHOOL,06-12,634
TARRANT,TRINITY BASIN PREPARATORY,TRINITY BASIN PREPARATORY HPA WEST,EE-05,470
CALDWELL,TRINITY CHARTER SCHOOL,TRINITY CHARTER SCHOOLS - LOCKHART CAMPUS,03-12,129
COMAL,TRINITY CHARTER SCHOOL,TRINITY CHARTER SCHOOLS - CANYON LAKE CAMPUS,04-12,30
UPSHUR,TRINITY CHARTER SCHOOL,TRINITY CHARTER SCHOOLS - BIG SANDY CAMPUS,06-12,23
SMITH,TRINITY CHARTER SCHOOL,TRINITY CHARTER SCHOOLS - VIRTUAL RECLAIM ACADEMY,KG-12,96
WASHINGTON,TRINITY CHARTER SCHOOL,TRINITY CHARTER SCHOOL - BRENHAM CAMPUS,06-12,36
EL PASO,TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO WEST,09-12,104
EL PASO,TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO EAST,09-12,133
WEBB,TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO NORTH,09-12,148
WEBB,TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO SOUTH,09-12,110
LUBBOCK,TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOCK,TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOCK,09-12,171
CAMERON,TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY,TRIUMPH PUBLIC HIGH SCHOOLS-BROWNSVILLE,09-12,118
HIDALGO,TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY,TRIUMPH PUBLIC HIGH SCHOOLS-MCALLEN,09-12,139
HIDALGO,TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY,TRIUMPH PUBLIC HIGH SCHOOLS-MERCEDES,09-12,101
CAMERON,TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY,TRIUMPH PUBLIC HIGH SCHOOLS-SAN BENITO,09-12,107
DENTON,TRIVIUM ACADEMY,TRIVIUM ACADEMY,KG-12,661
HARRIS,TWO DIMENSIONS PREPARATORY ACADEMY,TWO DIMENSIONS PREPARATORY ACADEMY,PK-08,167
HARRIS,TWO DIMENSIONS PREPARATORY ACADEMY,TWO DIMENSIONS/VICKERY,PK-08,218
NAVARRO,TWO DIMENSIONS PREPARATORY ACADEMY,TWO DIMENSIONS AT CORSICANA,PK-08,50
DALLAS,UME PREPARATORY ACADEMY,UME PREPARATORY ACADEMY,KG-12,541
DALLAS,UME PREPARATORY ACADEMY,UME DALLAS SECONDARY,07-12,582
DALLAS,UME PREPARATORY ACADEMY,UME PREPARATORY ACADEMY - DUNCANVILLE,KG-06,253
TARRANT,UME PREPARATORY ACADEMY,UME MANSFIELD EL,KG-06,191
DALLAS,UNIVERSAL ACADEMY,UNIVERSAL ACADEMY,PK-12,619
DALLAS,UNIVERSAL ACADEMY,UNIVERSAL ACADEMY - COPPELL,PK-12,1349
DENTON,UNIVERSAL ACADEMY,UNIVERSAL ACADEMY-BARTONVILLE,KG-05,135
TRAVIS,UNIVERSITY OF TEXAS AT AUSTIN H S,UNIVERSITY OF TEXAS AT AUSTIN H S,09-12,788
TRAVIS,UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,UNIVERSITY OF TEXAS EL CHARTER SCHOOL,PK-05,292
HAYS,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,PATHFINDER CAMP,KG-12,13
TRAVIS,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,SETTLEMENT HOME,06-12,25
TRAVIS,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,TNC CAMPUS (TEXAS NEUROREHABILITATION CENTER),KG-12,56
MCLENNAN,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,METHODIST CHILDREN'S HOME,06-12,90
KERR,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,PATHWAYS 3H CAMPUS,04-12,9
HAYS,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,OLYMPIA HILLS,03-09,22
BEXAR,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,LAUREL RIDGE,KG-12,39
TRAVIS,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,HELPING HAND,KG-07,21
BEXAR,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,UT - UNIVERSITY CHARTER SCHOOL AT HIGH POINT,KG-12,52
TRAVIS,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,AUSTIN OAKS,KG-12,11
HARRIS,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,UNLIMITED VISIONS AFTERCARE,06-12,14
WILLIAMSON,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,GEORGETOWN BEHAVIORAL HEALTH INSTITUTE,06-12,12
COMAL,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,SJRC TEXAS,KG-12,6
WALLER,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,SAFE HAVEN,06-12,12
JOHNSON,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,CLEARFORK ACADEMY SOUTH,06-12,25
BEXAR,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,BOYSVILLE,06-12,12
TARRANT,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,CLEARFORK ACADEMY,06-12,19
BELL,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,CEDAR CREST,KG-12,71
DALLAS,UPLIFT EDUCATION,UPLIFT EDUCATION-NORTH HILLS PREP H S,09-12,513
DALLAS,UPLIFT EDUCATION,UPLIFT EDUCATION - UPLIFT GRAND PREPARATORY,PK-05,717
DALLAS,UPLIFT EDUCATION,UPLIFT WILLIAMS PREPARATORY H S,09-12,603
DALLAS,UPLIFT EDUCATION,UPLIFT HEIGHTS PREPARATORY H S,09-12,495
DALLAS,UPLIFT EDUCATION,UPLIFT LUNA PREPARATORY H S,09-12,442
TARRANT,UPLIFT EDUCATION,UPLIFT MIGHTY SCHOOL,PK-05,537
DALLAS,UPLIFT EDUCATION,UPLIFT GRAND SECONDARY,06-08,479
DALLAS,UPLIFT EDUCATION,UPLIFT ATLAS PREPARATORY - H S,09-12,499
TARRANT,UPLIFT EDUCATION,UPLIFT SUMMIT INTERNATIONAL H S,09-12,434
DALLAS,UPLIFT EDUCATION,UPLIFT LUNA SECONDARY SCHOOL,06-08,484
TARRANT,UPLIFT EDUCATION,UPLIFT MIGHTY H S,09-12,412
DALLAS,UPLIFT EDUCATION,UPLIFT INFINITY H S,09-12,349
DALLAS,UPLIFT EDUCATION,UPLIFT WISDOM SECONDARY,06-08,456
DALLAS,UPLIFT EDUCATION,UPLIFT GRAND H S,09-12,362
TARRANT,UPLIFT EDUCATION,UPLIFT ASCEND,PK-05,867
TARRANT,UPLIFT EDUCATION,UPLIFT ASCEND PREP H S,09-12,280
DALLAS,UPLIFT EDUCATION,WISDOM H S,09-12,369
DALLAS,UPLIFT EDUCATION,UPLIFT HAMPTON PREPARATORY H S,09-12,403
TARRANT,UPLIFT EDUCATION,UPLIFT ELEVATE PREPARATORY SCHOOL,PK-05,692
DALLAS,UPLIFT EDUCATION,UPLIFT EDUCATION-NORTH HILLS PREP MIDDLE,06-08,501
DALLAS,UPLIFT EDUCATION,UPLIFT WILLIAMS PREPARATORY MIDDLE,06-08,532
DALLAS,UPLIFT EDUCATION,UPLIFT HEIGHTS PREPARATORY MIDDLE,06-08,488
DALLAS,UPLIFT EDUCATION,UPLIFT EDUCATION - INFINITY PREPARATORY MIDDLE SCH,06-08,371
DALLAS,UPLIFT EDUCATION,UPLIFT ATLAS PREPARATORY - MIDDLE,06-08,442
TARRANT,UPLIFT EDUCATION,UPLIFT MIGHTY MIDDLE,06-08,562
TARRANT,UPLIFT EDUCATION,UPLIFT SUMMIT INTERNATIONAL MIDDLE,06-08,492
TARRANT,UPLIFT EDUCATION,UPLIFT ELEVATE PREPARATORY MIDDLE,06-10,281
DALLAS,UPLIFT EDUCATION,UPLIFT HAMPTON PREPARATORY MIDDLE,06-08,479
DALLAS,UPLIFT EDUCATION,UPLIFT EDUCATIION-NORTH HILLS PREP PRI,PK-05,599
TARRANT,UPLIFT EDUCATION,UPLIFT ASCEND MIDDLE,06-10,430
DALLAS,UPLIFT EDUCATION,UPLIFT GRADUS PREPARATORY,PK-05,535
DALLAS,UPLIFT EDUCATION,UPLIFT EDUCATION - INFINITY PREPARATORY PRI,PK-05,504
DALLAS,UPLIFT EDUCATION,UPLIFT HEIGHTS PREPARATORY PRI,PK-05,943
DALLAS,UPLIFT EDUCATION,UPLIFT PINNACLE PREPARATORY PRI,PK-05,408
DALLAS,UPLIFT EDUCATION,UPLIFT LUNA PREPARATORY PRI,PK-05,391
DALLAS,UPLIFT EDUCATION,UPLIFT ATLAS PREPARATORY - PRI,PK-05,706
TARRANT,UPLIFT EDUCATION,UPLIFT MERIDIAN SCHOOL,PK-08,455
DALLAS,UPLIFT EDUCATION,UPLIFT WILLIAMS PREPARATORY PRI,PK-05,598
DALLAS,UPLIFT EDUCATION,UPLIFT TRIUMPH PREPARATORY SCHOOL,PK-05,447
TARRANT,UPLIFT EDUCATION,UPLIFT SUMMIT INTERNATIONAL PRI,PK-05,689
TARRANT,UPLIFT EDUCATION,UPLIFT CRESCENDO PREPARATORY PRI,PK-05,514
DALLAS,UPLIFT EDUCATION,WISDOM PRI,PK-05,570
DALLAS,UPLIFT EDUCATION,UPLIFT HAMPTON PREPARATORY PRI,PK-05,662
DALLAS,UPLIFT EDUCATION,UPLIFT WHITE ROCK HILLS PREP,PK-05,666
SMITH,UT TYLER UNIVERSITY ACADEMY,UT TYLER UNIVERSITY ACADEMY AT TYLER,KG-12,392
ANDERSON,UT TYLER UNIVERSITY ACADEMY,UT TYLER UNIVERSITY ACADEMY AT PALESTINE,KG-12,233
GREGG,UT TYLER UNIVERSITY ACADEMY,UT TYLER UNIVERSITY ACADEMY AT LONGVIEW,KG-12,391
TRAVIS,VALERE PUBLIC SCHOOLS,THE EAST AUSTIN COLLEGE PREP AT SOUTHWEST KEY,EE-06,179
CAMERON,VALERE PUBLIC SCHOOLS,PROMESA COLLEGE PREP BROWNSVILLE,PK-07,193
NUECES,VALERE PUBLIC SCHOOLS,PROMESA COLLEGE PREP WEST CORPUS CHRISTI,PK-08,391
TRAVIS,VALERE PUBLIC SCHOOLS,THE EAST AUSTIN COLLEGE PREP AT MLK,07-12,200
TRAVIS,VALOR PUBLIC SCHOOLS,VALOR SOUTH AUSTIN,KG-12,827
TRAVIS,VALOR PUBLIC SCHOOLS,VALOR NORTH AUSTIN,KG-12,996
WILLIAMSON,VALOR PUBLIC SCHOOLS,VALOR LEANDER,KG-12,353
HAYS,VALOR PUBLIC SCHOOLS,VALOR KYLE,KG-12,765
BEXAR,VALOR PUBLIC SCHOOLS,VALOR SAN ANTONIO,KG-12,218
HIDALGO,VANGUARD ACADEMY,VANGUARD REMBRANDT,EE-12,1965
HIDALGO,VANGUARD ACADEMY,VANGUARD MOZART,EE-12,1209
HIDALGO,VANGUARD ACADEMY,VANGUARD PICASSO,EE-05,593
HIDALGO,VANGUARD ACADEMY,VANGUARD BEETHOVEN,EE-12,1714
HIDALGO,VANGUARD ACADEMY,VANGUARD VAN GOGH,EE-12,959
HIDALGO,VANGUARD ACADEMY,VANGUARD MONET,EE-12,160
DALLAS,VILLAGE TECH SCHOOLS,VILLAGE TECH SCHOOLS,PK-12,1322
EL PASO,VISTA DEL FUTURO CHARTER SCHOOL,VISTA DEL FUTURO CHARTER SCHOOL,PK-06,338
TRAVIS,WAYSIDE SCHOOLS,WAYSIDE ALTAMIRA ACADEMY,PK-05,344
TRAVIS,WAYSIDE SCHOOLS,WAYSIDE EDEN PARK ACADEMY,PK-05,271
TRAVIS,WAYSIDE SCHOOLS,WAYSIDE REAL LEARNING ACADEMY,PK-05,609
TRAVIS,WAYSIDE SCHOOLS,WAYSIDE SCI-TECH MIDDLE AND H S,06-12,535
TARRANT,WESTLAKE ACADEMY CHARTER SCHOOL,WESTLAKE ACADEMY,KG-12,888
DENTON,WINFREE ACADEMY CHARTER SCHOOLS,WINFREE ACADEMY CHARTER SCHOOL (LEWISVILLE),09-12,144
DALLAS,WINFREE ACADEMY CHARTER SCHOOLS,WINFREE ACADEMY CHARTER SCHOOL (RICHARDSON),09-12,151
DALLAS,WINFREE ACADEMY CHARTER SCHOOLS,WINFREE ACADEMY CHARTER SCHOOL (IRVING),09-12,165
DALLAS,WINFREE ACADEMY CHARTER SCHOOLS,WINFREE ACADEMY CHARTER SCHOOL DALLAS,09-12,219
TARRANT,WINFREE ACADEMY CHARTER SCHOOLS,WINFREE ACADEMY NORTH RICHLAND HILLS,09-12,251
TARRANT,WINFREE ACADEMY CHARTER SCHOOLS,WINFREE ACADEMY CHARTER SCHOOL - GRAND PRAIRIE,09-12,234
HARRIS,YELLOWSTONE COLLEGE PREPARATORY,YELLOWSTONE COLLEGE PREPARATORY,06-08,272
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - SOUTHEAST,06-12,875
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - SOUTHWEST,06-12,1036
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - EAST END,06-12,994
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - WEST,06-12,1000
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - GULFTON,06-12,1045
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - NORTHSIDE,06-12,948
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - 5TH WARD,06-12,940
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - BRAYS OAKS,06-12,1032
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP NORTH FOREST,06-12,1004
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - NORTHWEST,06-12,575
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - WHITE OAK,06-12,984
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - NORTHLINE,06-12,985
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - SOUTHSIDE,06-12,914
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - HOBBY,06-12,576
HARRIS,YES PREP PUBLIC SCHOOLS INC,NORTH CENTRAL EL,EE-05,857
HARRIS,YES PREP PUBLIC SCHOOLS INC,NORTH FOREST EL,EE-05,646
HARRIS,YES PREP PUBLIC SCHOOLS INC,SOUTHEAST EL,EE-05,780
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP - NORTH CENTRAL,06-12,999
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP AIRLINE EL,EE-05,453
HARRIS,YES PREP PUBLIC SCHOOLS INC,YES PREP EAST END EL,EE-05,373
HARRIS,YES PREP PUBLIC SCHOOLS INC,SOUTHSIDE EL,EE-05,606
