County,NAME
ARANSAS,SACRED HEART SCHOOL ROCKPORT
HARRIS,SAFARI KIDS LEARNING CENTER
DALLAS,SALAM ACADEMY
BEXAR,SALEM SAYERS BAPTIST ACADEMY
TOM GREEN,SAN ANGELO CHRISTIAN ACADEMY
BEXAR,SAN ANTONIO COUNTRY DAY MONTESSORI SCHOOL
HARRIS,SAN FRANCISCO NATIVITY ACADEMY
POTTER,SAN JACINTO CHRISTIAN ACADEMY
TRAVIS,SAN JUAN DIEGO CATHOLIC HIGH SCHOOL
HAYS,SAN MARCOS BAPTIST ACADEMY
HIDALGO,SAN MARTIN DE PORRES CATHOLIC SCHOOL
HIDALGO,SANCTUARY ACADEMY OF THE REGIONAL BIBLE INSTITUTE
DALLAS,SANTA CLARA OF ASSISI CATHOLIC ACADEMY
WILLIAMSON,SAPIENTIA MONTESSORI SCHOOL
GALVESTON,SATORI SCHOOL
BEXAR,SCENIC HILLS CHRISTIAN ACADEMY
GREGG,SCHOOL FOR LITTLE CHILDREN
TRAVIS,SCHOOL IN THE HILLS
HARRIS,SCHOOL OF THE WOODS
DALLAS,SCOFIELD CHRISTIAN SCHOOL
HARRIS,SECOND BAPTIST SCHOOL
GUADALUPE,SEGUIN CHRISTIAN ACADEMY
GAINES,SEMINOLE MENNONITE SCHOOL
COLLIN,SEVENSTAR ACADEMY
HARRIS,SHADY ACRES CHRISTIAN SCHOOL
FORT BEND,SHADY OAK CHRISTIAN SCHOOL
FORT BEND,SHADY OAK PRIMARY SCHOOL
LUBBOCK,SHARP ACADEMY
COLLIN,SHELTON SCHOOL
BEXAR,SHEPHERD OF THE HILLS LUTHERAN SCHOOL
HARRIS,SHERWOOD FOREST MONTESSORI SCHOOL
EL PASO,SHILOH CHRISTIAN ACADEMY
LAVACA,SHINER CATHOLIC SCHOOL
WILLIAMSON,SHINING STARS MONTESSORI LLC
TOM GREEN,SIERRA VISTA CHILD DEVELOPMENT CENTER
ERATH,SILVER SADDLE CHRISTIAN ACADEMY
BRAZORIA,SILVERLINE MONTESSORI - SILVERLAKE CAMPUS
BRAZORIA,SILVERLINE MONTESSORI SCHOOL - SHADOW CREEK
FORT BEND,SIMONTON CHRISTIAN ACADEMY
HARRIS,SMALL STEPS NURTURING CENTER - JENSEN
HARRIS,SMALLER SCHOLARS MONTESSORI
SCURRY,SNYDER CHRISTIAN SCHOOL
JEFFERSON,SOLID ROCK CHRISTIAN ACADEMY
NUECES,SOLID ROCK CHRISTIAN ACADEMY
MONTGOMERY,SON KIDS CHRISTIAN SCHOOL
GALVESTON,SOUTH SHORE MONTESSORI
HIDALGO,SOUTH TEXAS CHRISTIAN ACADEMY
LUBBOCK,SOUTHCREST CHRISTIAN SCHOOL
TARRANT,SOUTHLAKE EARLY CARE AND EDUCATION
FORT BEND,SOUTHMINSTER SCHOOL
DALLAS,SOUTHWEST ADVENTIST JUNIOR ACADEMY
TARRANT,SOUTHWEST CHRISTIAN SCHOOL
HARRIS,SOUTHWEST COMMUNITY CHRISTIAN ACADEMY
CALDWELL,SOUTHWEST TEXAS HIGH SCHOOL
COLLIN,SPANISH SCHOOLHOUSE
DALLAS,SPANISH SCHOOLHOUSE
FORT BEND,SPANISH SCHOOLHOUSE
HARRIS,SPANISH SCHOOLHOUSE
ROCKWALL,SPANISH SCHOOLHOUSE
TARRANT,SPANISH SCHOOLHOUSE
HARRIS,SPELL WELL MONTESSORI SCHOOL
HARRIS,SPRING BAPTIST ACADEMY
COLLIN,SPRING CREEK ACADEMY
HARRIS,SPRING WOODS CHRISTIAN ACADEMY
LUBBOCK,SPRINGBOARD ACADEMICS
DENTON,SPRINGBOK ACADEMY
DALLAS,SPRINGHILL MONTESSORI SCHOOL
COMAL,SS PETER & PAUL CATHOLIC SCHOOL
NUECES,SS. CYRIL & METHODIUS CATHOLIC SCHOOL
HARRIS,ST AGNES ACADEMY COLLEGE PREPARATORY
CAMERON,ST ALBANS EPISCOPAL DAY SCHOOL
HARRIS,ST AMBROSE SCHOOL
TARRANT,ST ANDREW CATHOLIC
POTTER,ST ANDREW'S EPISCOPAL SCHOOL
TRAVIS,ST ANDREW'S EPISCOPAL SCHOOL
TRAVIS,ST ANDREWS EPISCOPAL SCHOOL
MIDLAND,ST ANN S SCHOOL
HARRIS,ST ANNE CATHOLIC SCHOOL
JEFFERSON,ST ANNE CATHOLIC SCHOOL
JEFFERSON,ST ANTHONY CATHEDRAL BASILICA SCHOOL
BEXAR,ST ANTHONY CATHOLIC HIGH SCHOOL
CAMERON,ST ANTHONY CATHOLIC SCHOOL
DEAF SMITH,ST ANTHONY CATHOLIC SCHOOL
HARTLEY,ST ANTHONY OF PADUA CATHOLIC SCHOOL
COLORADO,ST ANTHONY SCHOOL
NUECES,ST ANTHONY SCHOOL
TARRANT,ST AUGUSTIN CATHOLIC HIGH SCHOOL
HARRIS,ST AUGUSTINE CATHOLIC SCHOOL
WEBB,ST AUGUSTINE ELEMENTARY & MIDDLE SCHOOL
WEBB,ST AUGUSTINE HIGH SCHOOL
TRAVIS,ST AUSTIN CATHOLIC SCHOOL
DALLAS,ST BERNARD OF CLAIRVAUX SCHOOL
HARRIS,ST CATHERINE'S MONTESSORI
HARRIS,ST CECILIA CATHOLIC SCHOOL
ANGELINA,ST CYPRIAN'S EPISCOPAL SCHOOL
BEXAR,ST DAVIDS EPISCOPAL SCHOOL
WILLIAMSON,ST DOMINIC SAVIO CATHOLIC HIGH SCHOOL
HARRIS,ST EDWARD CATHOLIC SCHOOL
HARRIS,ST ELIZABETH ANN SETON SCHOOL
JIM WELLS,ST ELIZABETH CATHOLIC SCHOOL
DALLAS,ST ELIZABETH OF HUNGARY CATHOLIC SCHOOL
HARRIS,ST FRANCIS DE SALES SCHOOL
BELL,ST FRANCIS EPISCOPAL SCHOOL
HARRIS,ST FRANCIS EPISCOPAL SCHOOL
TRAVIS,ST FRANCIS SCHOOL
TRAVIS,ST GABRIEL'S CATHOLIC SCHOOL
TARRANT,ST GEORGE CATHOLIC SCHOOL
BEXAR,ST GEORGE EPISCOPAL SCHOOL
BEXAR,ST GERARD CATHOLIC SCHOOL
BEXAR,ST GREGORY THE GREAT CATHOLIC SCHOOL
BRAZORIA,ST HELEN CATHOLIC SCHOOL
WILLIAMSON,ST HELEN CATHOLIC SCHOOL
KENDALL,ST HELENAS EPISCOPAL SCHOOL
TARRANT,ST IGNATIUS COLLEGE PREP
HARRIS,ST IGNATIUS LOYOLA EARLY  CHILDHOOD CENTER
TRAVIS,ST IGNATIUS MARTYR  CATHOLIC SCHOOL
GUADALUPE,ST JAMES CATHOLIC SCHOOL
BOWIE,ST JAMES DAY SCHOOL
NUECES,ST JAMES EPISCOPAL SCHOOL
VAL VERDE,ST JAMES EPISCOPAL SCHOOL
DALLAS,ST JAMES EPISCOPAL SCHOOL OF DALLAS
BEXAR,ST JAMES THE APOSTLE SCHOOL
HARRIS,ST JEROME CATHOLIC SCHOOL
BEXAR,ST JOHN BERCHMANS SCHOOL
BEXAR,ST JOHN BOSCO SCHOOL
HAMILTON,ST JOHN LUTHERAN PRESCHOOL KINDER/BRIDGE
NUECES,ST JOHN PAUL II HIGH SCHOOL
TARRANT,ST JOHN THE APOSTLE CATHOLIC
HARRIS,ST JOHN XXIII COLLEGE PRREPARATORY
HIDALGO,ST JOHNS EPISCOPAL DAY SCHOOL
TAYLOR,ST JOHNS EPISCOPAL SCHOOL
CAMERON,ST JOSEPH ACADEMY
BELL,ST JOSEPH CATHOLIC ACADEMY
RANDALL,ST JOSEPH CATHOLIC ELEMENTARY & MONTESSOTIR SCHOOL
BRAZOS,ST JOSEPH CATHOLIC SCHOOL
DALLAS,ST JOSEPH CATHOLIC SCHOOL
ELLIS,ST JOSEPH CATHOLIC SCHOOL
HARRIS,ST JOSEPH CATHOLIC SCHOOL
HIDALGO,ST JOSEPH CATHOLIC SCHOOL
TARRANT,ST JOSEPH CATHOLIC SCHOOL
BRAZOS,ST JOSEPH CATHOLIC SCHOOL - ELEMENTARY CAMPUS
LAVACA,ST JOSEPH ELEMENTARY SCHOOL
VICTORIA,ST JOSEPH HIGH SCHOOL
MCLENNAN,ST LOUIS CATHOLIC SCHOOL
MEDINA,ST LOUIS CATHOLIC SCHOOL
TRAVIS,ST LOUIS CATHOLIC SCHOOL
BEXAR,ST LUKE CATHOLIC SCHOOL
LUBBOCK,ST LUKE'S PRESCHOOL
BEXAR,ST LUKES EPISCOPAL SCHOOL
HARRIS,ST MARK LUTHERAN SCHOOL
HARRIS,ST MARK'S EPISCOPAL SCHOOL
EL PASO,ST MARKS SCHOOL
HARRIS,ST MARTHA CATHOLIC SCHOOL
DENTON,ST MARTIN DE PORRES CATHOLIC SCHOOL
GALVESTON,ST MARY CATHOLIC SCHOOL
ORANGE,ST MARY CATHOLIC SCHOOL
HARRIS,ST MARY MAGDALENE SCHOOL
DALLAS,ST MARY OF CARMEL SCHOOL
HARRIS,ST MARY OF THE PURIFICATION CATHOLIC SCHOOL
GREGG,ST MARY S CATHOLIC SCHOOL
COOKE,ST MARY SCHOOL
CAMERON,ST MARY'S CATHOLIC SCHOOL
WILLIAMSON,ST MARY'S CATHOLIC SCHOOL
GILLESPIE,ST MARY'S ELEMENTARY SCHOOL
BEXAR,ST MARY'S HALL
POTTER,ST MARYS CATHEDRAL SCHOOL
BELL,ST MARYS CATHOLIC SCHOOL
GRAYSON,ST MARYS CATHOLIC SCHOOL
ECTOR,ST MARYS CENTRAL CATHOLIC SCHOOL
AUSTIN,ST MARYS EPISCOPAL DAY SCHOOL
MCLENNAN,ST MARYS SCHOOL
BEXAR,ST MATTHEW CATHOLIC SCHOOL
EL PASO,ST MATTHEW CATHOLIC SCHOOL
HIDALGO,ST MATTHEW'S EPISCOPAL SCHOOL
TRAVIS,ST MATTHEW'S EPISCOPAL SCHOOL
COLORADO,ST MICHAEL CATHOLIC SCHOOL
HARRIS,ST MICHAEL CATHOLIC SCHOOL - HOUSTON
TRAVIS,ST MICHAEL'S CATHOLIC ACADEMY
DEWITT,ST MICHAELS CATHOLIC SCHOOL
BEXAR,ST MONICA CATHOLIC SCHOOL
DALLAS,ST MONICA CATHOLIC SCHOOL
EL PASO,ST PATRICK CATHEDRAL SCHOOL
ANGELINA,ST PATRICK CATHOLIC SCHOOL
DALLAS,ST PATRICK CATHOLIC SCHOOL
NUECES,ST PATRICK SCHOOL
DALLAS,ST PAUL CATHOLIC CLASSICAL SCHOOL
COLLIN,ST PAUL CHRISTIAN SCHOOL
HIDALGO,ST PAUL LUTHERAN SCHOOL
MILAM,ST PAUL LUTHERAN SCHOOL
NUECES,ST PAUL LUTHERAN SCHOOL
TARRANT,ST PAUL LUTHERAN SCHOOL
WILBARGER,ST PAUL LUTHERAN SCHOOL
LEE,ST PAUL LUTHERAN SERBIN SCHOOL
BEXAR,ST PAUL'S EPISCOPAL MONTESSORI SCHOOL
TYLER,ST PAUL'S EPISCOPAL SCHOOL
TARRANT,ST PAUL'S PREPARATORY ACADEMY
HARRIS,ST PAUL'S SCHOOL
WASHINGTON,ST PAULS CHRISTIAN DAY SCHOOL
MCLENNAN,ST PAULS EPISCOPAL DAY SCHOOL
BEXAR,ST PAULS EPISCOPAL MONTESSORI SCHOOL
BEXAR,ST PETER PRINCE OF THE APOSTLES SCHOOL
TARRANT,ST PETER THE APOSTLE CATHOLIC CLASSICAL SCHOOL
TARRANT,ST PETER'S CLASSICAL SCHOOL
KERR,ST PETER'S EPISCOPAL SCHOOL
DALLAS,ST PHILIP & ST. AUGUSTINE CATHOLIC ACADEMY
WHARTON,ST PHILIP THE APOSTLE CATHOLIC SCHOOL
UVALDE,ST PHILIP'S EPISCOPAL SCHOOL
BEE,ST PHILIPS EPISCOPAL SCHOOL
DALLAS,ST PHILIPS SCHOOL & COMMUNITY CENTER
BEXAR,ST PIUS X CATHOLIC SCHOOL
DALLAS,ST PIUS X CATHOLIC SCHOOL
NUECES,ST PIUS X CATHOLIC SCHOOL
EL PASO,ST PIUS X GRADE SCHOOL
HARRIS,ST PIUS X HIGH SCHOOL
EL PASO,ST RAPHAEL SCHOOL
DALLAS,ST RITA CATHOLIC SCHOOL
TARRANT,ST RITA CATHOLIC SCHOOL
FAYETTE,ST ROSE OF LIMA CATHOLIC SCHOOL
HARRIS,ST ROSE OF LIMA CATHOLIC SCHOOL
HARRIS,ST STEPHEN'S EPISCOPAL SCHOOL
TRAVIS,ST STEPHENS EPISCOPAL SCHOOL
FORT BEND,ST THERESA CATHOLIC SCHOOL-SUGAR LAND
TRAVIS,ST THERESAS CATHOLIC SCHOOL
DALLAS,ST THOMAS AQUINAS CATHOLIC SCHOOL
BRAZOS,ST THOMAS EARLY LEARNING CENTER
HARRIS,ST THOMAS MORE PARISH SCHOOL
HARRIS,ST THOMAS THE APOSTLE EPISCOPAL SCHOOL
DENTON,ST TIMOTHY CHRISTIAN ACADEMY
HARRIS,ST VINCENT DE PAUL CATHOLIC SCHOOL
HARRIS,STAR MONTESSORI SCHOOL
DENTON,STARWOOD ACADEMY OF FRISCO
HARRIS,STEP BY STEP CHRISTIAN SCHOOL
ERATH,STEPHENVILLE CHRISTIAN SCHOOL
TARRANT,STEPPING STONES ACADEMY
BRAZOS,STILL CREEK CHRISTIAN ACADEMY
HARRIS,STJOHN PAUL II CATHOLIC SCHOOL
DALLAS,STONEGATE CHRISTIAN ACADEMY
TRAVIS,STONEHILL CHRISTIAN ACADEMY
HARRIS,STRAKE JESUIT COLLEGE PREP SCHOOL
BEXAR,SUBURBAN SCHOOL
FORT BEND,SUGAR CREEK MONTESSORI SCHOOL
TRAVIS,SUMMIT CHRISTIAN ACADEMY OF CEDAR PARK
MCLENNAN,SUMMIT SCHOOL WACO
EL PASO,SUN COUNTRY MONTESSORI
BEXAR,SUNSHINE COTTAGE SCHOOL FOR DEAF CHILDREN
WEBB,SUPERIOR ACADEMY OF LOREDO
BRAZORIA,SWEENY CHRISTIAN SCHOOL
JOHNSON,SYCAMORE ACADEMY
BELL,TAMRA LEARNING ACADEMY
HARRIS,TANGLEWOOD ACADEMY
LUBBOCK,TAS MONTESSORI SCHOOL
HIDALGO,TAYLOR CHRISTIAN SCHOOL
TARRANT,TEMPLE CHRISTIAN SCHOOLS
COLLIN,TEXAS TORAH INSTITUTE
GRAYSON,TEXOMA CHRISTIAN SCHOOL
COLLIN,THE ACADEMY AT CHURCH ELEVEN32
BEXAR,THE ACORN - A SCHOOL FOR YOUNG CHILDREN
JEFFERSON,THE ANCHOR EARLY LEARNING CENTER
BEXAR,THE ATONEMENT CATHOLIC ACADEMY
TRAVIS,THE AUSTIN SCHOOL FOR PERFORMING AND VISUAL ARTS
HARRIS,THE BANFF SCHOOL
HARRIS,THE BRANCH SCHOOL
SMITH,THE BROOK HILL SCHOOL
DALLAS,THE CAMBRIDGE SCHOOL OF DALLAS
COMAL,THE CHILDREN'S COURTYARD INC.
ELLIS,THE CHILDRENS MONTESSORI CENTER
BEXAR,THE CHRISTIAN SCHOOL AT CASTLE HILLS
BEXAR,THE CIRCLE SCHOOL
DENTON,THE CLARIDEN SCHOOL
HARRIS,THE CONNECTION SCHOOL OF HOUSTON
HARRIS,THE COVENANT PREPARATORY SCHOOL
DALLAS,THE COVENANT SCHOOL
HIDALGO,THE DISCOVERY SCHOOL
COLLIN,THE EINSTEIN SCHOOL OF PLANO
HARRIS,THE EMERY/WEINER CENTER FOR JEWISH EDUCATION
HARRIS,THE EMERY/WEINER SCHOOL
DALLAS,THE FAMILY PLACE CHILD DEVELOPMENT CENTER
WHARTON,THE FIRST SCHOOL
ROCKWALL,THE FULTON SCHOOL
HARRIS,THE GALLOWAY SCHOOL
HARRIS,THE GATEWAY ACADEMY
WILLIAMSON,THE GODDARD SCHOOL   CEDAR PARK
COLLIN,THE GODDARD SCHOOL OF ALLEN
WILLIAMSON,THE GODDARD SCHOOL-LEANDER
CALDWELL,THE GOSPEL LIGHTHOUSE CHRISTIAN ACADEMY
HARRIS,THE GREENWOOD PRESCHOOL
MONTGOMERY,THE GROVE COMMUNITY SCHOOL
HARRIS,THE HARRIS SCHOOL
DALLAS,THE HIGHLANDS SCHOOL
DALLAS,THE HILLIER SCHOOL
DALLAS,THE HOCKADAY SCHOOL
HARRIS,THE HUB HOUSTON INC.
DALLAS,THE HUMANIST ACADEMY
HARRIS,THE IMANI SCHOOL
EL PASO,THE J CENTER FOR EARLY LEARNING
TARRANT,THE JANE JUSTIN SCHOOL
MONTGOMERY,THE JOHN COOPER SCHOOL
HARRIS,THE JOY SCHOOL
DALLAS,THE KESSLER SCHOOL
DALLAS,THE KING'S ACADEMY
HARRIS,THE KINKAID SCHOOL - HEAD OF SCHOOL OFFICE
HARRIS,THE KIPLING SCHOOL
DALLAS,THE LAMPLIGHTER SCHOOL
BEXAR,THE LILYPAD GARDEN SCHOOL
FORT BEND,THE LITTLE VILLAGE SCHOOL
TRAVIS,THE MAGELLAN INTERNATIONAL SCHOOL
TRAVIS,THE MAGNOLIA SCHOOL
HARRIS,THE MOMENTUM ACADEMY
TARRANT,THE MONTESSORI ACADEMY OF ARLINGTON INC
BEXAR,THE MONTESSORI SCHOOL OF SAN ANTONIO
JEFFERSON,THE MONTESSORI SCHOOL ON 11TH STREET
BELL,THE MONTESSORI SCHOOLS OF CENTRAL TEXAS
TARRANT,THE NEW KEY SCHOOL INC
TARRANT,THE NOVUS ACADEMY
TARRANT,THE OAKRIDGE SCHOOL
HARRIS,THE PARISH SCHOOL
HIDALGO,THE PHARR ORATORY OF ST PHILIP NERI SCHOOL SYSTEM
HARRIS,THE POST OAK SCHOOL
GREGG,THE PREP SCHOOL
TRAVIS,THE PREP SCHOOL OF BEE CAVE
HAYS,THE PREPARATORY SCHOOL OF DRIPPING SPRINGS
HARRIS,THE REGIS SCHOOL OF THE SACRED HEART
MONTGOMERY,THE RUBICON ACADEMY
HARRIS,THE SAINT CONSTANTINE SCHOOL
DALLAS,THE SAINT TIMOTHY SCHOOL
HARRIS,THE SCHOOL FOR YOUNG CHILDREN
JEFFERSON,THE SCHOOL OF MONTESSORI
HARRIS,THE SHLENKER SCHOOL
DALLAS,THE SLOAN SCHOOL
DALLAS,THE ST ANTHONY SCHOOL
HARRIS,THE TENNEY SCHOOL
FORT BEND,THE TOWNE CREEK SCHOOL
HARRIS,THE VILLAGE SCHOOL
HARRIS,THE VILLAGE SCHOOL
FORT BEND,THE WALDEN SCHOOL
DALLAS,THE WESTWOOD SCHOOL
FORT BEND,THE WIDE SCHOOL
FORT BEND,THE WILLIAMS SCHOOL DBA HOMESCHOOL ACADEMY
DALLAS,THE WINSTON SCHOOL
BEXAR,THE WINSTON SCHOOL SAN ANTONIO
MONTGOMERY,THE WOODLANDS METHODIST SCHOOL
HARRIS,THE WOODLANDS PREPORATORY SCHOOL
BURNET,TIERRA VISTA MONTESSORI SCHOOL
DALLAS,TKG ACADEMY
BEXAR,TMI EPISCOPAL
WALKER,TOMORROW'S PROMISE
BEXAR,TORAH ACADEMY OF SAN ANTONIO
HARRIS,TORAH DAY SCHOOL
COLLIN,TORAH DAY SCHOOL OF DALLAS
HARRIS,TORAH GIRLS ACADEMY OF TEXAS
ANGELINA,TOTS ON THE MOVE CHILD EDUCATION CENTER
BEXAR,TOWN EAST CHRISTIAN SCHOOL
BRAZOS,TRADITIONS MONTESSORI SCHOOL
HARRIS,TRAFTON ACADEMY
BEXAR,TRAIN-UP A CHILD LEARNING CENTER / NURSERY
BEXAR,TRINITY CHRISTIAN ACADEMY
DALLAS,TRINITY CHRISTIAN ACADEMY
LAMAR,TRINITY CHRISTIAN ACADEMY
LUBBOCK,TRINITY CHRISTIAN SCHOOL
MONTGOMERY,TRINITY EPISCOPAL DAY SCHOOL
HARRISON,TRINITY EPISCOPAL SCHOOL
VICTORIA,TRINITY EPISCOPAL SCHOOL
TRAVIS,TRINITY EPISCOPAL SCHOOL OF AUSTIN
DENTON,TRINITY LEARNING CENTER
HARRIS,TRINITY LUTHERAN SCHOOL
POTTER,TRINITY LUTHERAN SCHOOL
TOM GREEN,TRINITY LUTHERAN SCHOOL
MIDLAND,TRINITY SCHOOL
GREGG,TRINITY SCHOOL OF TEXAS
GALVESTON,TRUE CROSS CATHOLTIC SCHOOL - DICKINSON
FORT BEND,TRUE KNIGHT ACADEMY
DALLAS,TURNING POINT CHRISTIAN ACADEMY
SMITH,TYLER ADVENTIST SCHOOL
BEXAR,UNITED KIDZ ACADEMY SAN ANTONIO
TARRANT,UNIVERSITY CHRISTIAN CHURCH WEEKDAY SCHOOL
DALLAS,UNIVERSITY PARK UMC WEEKDAY SCHOOL
BEXAR,UNIVERSITY UNITED METHODIST DAY SCHOOL
GALVESTON,UPWARD HOPE ACADEMY
DALLAS,UR POWERS KIDS
DALLAS,URSULINE ACADEMY OF DALLAS
UVALDE,UVALDE CLASSICAL ACADEMY
JEFFERSON,VAL VERDE CHRISTIAN ACADEMY
HIDALGO,VALLEY CHRISTIAN HERITAGE SCHOOL
MCLENNAN,VALOR PREPARATORY ACADEMY
HARRIS,VAN HOUSTON ACADEMY
DALLAS,VANGUARD PREPARATORY SCHOOL
NUECES,VENTURE CHRISTIAN SCHOOL
COLLIN,VERITAS ACADEMY
HAYS,VERITAS ACADEMY
HARRIS,VERITAS CHRISTIAN ACADEMY
VICTORIA,VICTORIA CHRISTIAN SCHOOL
PARKER,VICTORY BAPTIST ACADEMY
OCHILTREE,VICTORY CHRISTIAN ACADEMY
FORT BEND,VILLA DI MARIA MONTESSORI SCHOOL
HARRIS,VILLAGE MIDDLE SCHOOL
BEXAR,VINEYARD CHRISTIAN SCHOOL
MCLENNAN,WACO MONTESSORI SCHOOL
WALLER,WALLER CHRISTIAN ACADEMY
TRAVIS,WATERLOO SCHOOL
TARRANT,WAYPOINT MONTESSORI
PARKER,WEATHERFORD CHRISTIAN SCHOOL
TARRANT,WEDGWOOD ACADEMY
CORYELL,WEE CARE SCHOOL
GREGG,WEE LEARN CENTER
DALLAS,WESLEY PREP
DALLAS,WESLEYAN ACADEME
DALLAS,WESLEYAN CHRISTIAN ACADEMY
DALLAS,WEST DALLAS COMMUNITY SCHOOL
HARRIS,WEST MONTESSORI SCHOOL OF COPPERFIELD
HARRIS,WESTBURY CHRISTIAN SCHOOL
EL PASO,WESTERN HILLS ACADEMY
HARRIS,WESTLAKE CHILD DEVELOPMENT CENTER
DALLAS,WESTMINSTER PRESBYTERIAN PRESCHOOL & KINDERGARTEN
HARRIS,WESTSIDE BAPTIST ACADEMY
HARRIS,WESTSIDE MONTESSORI SCHOOL
HARRIS,WESTVIEW SCHOOL
COLLIN,WHITE DOVE MONTESSORI SCHOOL
DALLAS,WHITE ROCK MONTESSORI
DALLAS,WHITE ROCK NORTH SCHOOL
TRAVIS,WHOLE LIFE LEARNING CENTER
TRAVIS,WHOLESOME GENERATION
WICHITA,WICHITA CHRISTIAN SCHOOL
TRAVIS,WILLIAMS COMMUNITY SCHOOL
DALLAS,WILLOW MONTESSORI ACADEMY
HAYS,WIMBERLEY MONTESSORI
COLLIN,WIND ROSE ACADEMY
ZAVALA,WINTERGARTEN CHRISTIAN SCHOOL
DALLAS,WISDOM ACADEMY
HAYS,WONDERLAND SCHOOL
TRAVIS,WONDERWELL
MONTGOMERY,WOODLANDS CHRISTIAN ACADEMY
MCLENNAN,WOODWAY CHRISTIAN SCHOOL
COLLIN,WYLIE PREPARATORY ACADEMY
HARRIS,XAVIER EDUCATIONAL ACADEMY
HARRIS,YELLOW SCHOOL-MDPC
HARRIS,YELLOWSTONE ACADEMY
HARRIS,YORKSHIRE ACADEMY
NUECES,YORKTOWN CHRISTIAN ACADEMY
COLLIN,YORKTOWN EDUCATION
TRAVIS,YPW SPANISH IMMERSION SCHOOL
DALLAS,ZION LUTHERAN SCHOOL
WILLIAMSON,ZION LUTHERAN SCHOOL
